pid,blk,brcv,type
253681,DW-2400,BK-0600,FG
253815,RW-4300,WH-0200,FG
255805,JK-1600,MG-1500,PUNT
256529,RW-0200,CH-3000,PUNT
258956,JP-2000,,FG
260145,SR-1000,LW-1700,FG
260176,JH-0300,,FG
261330,CW-3400,AD-0400,PUNT
261473,JP-2000,MK-0700,FG
262027,SP-0700,,XP
262635,JP-2700,,FG
262711,DW-2400,,FG
262803,CP-0100,,FG
263386,BT-0600,JV-0500,FG
264263,JT-2700,,FG
265876,DF-1600,,FG
265991,SG-0700,CD-1300,PUNT
266058,JB-7500,FT-0200,FG
268860,JD-1775,,XP
268928,MW-3700,,FG
269759,BP-0900,,PUNT
269912,GS-0900,JC-4900,PUNT
270098,ML-0500,SL-0400,PUNT
271910,CC-4800,,PUNT
275527,RS-1900,,XP
277601,TV-0200,ST-0100,FG
278157,II-0100,,FG
279562,TP-2300,,FG
280457,JT-0900,,FG
282606,JJ-5000,,XP
283914,CF-0600,SP-1400,PUNT
284141,CT-0600,,FG
285341,RS-0900,,FG
285567,SF-0500,,XP
286936,CT-0600,,FG
287554,RC-0800,RD-1500,PUNT
289715,AM-1600,,FG
290296,JC-4900,KP-0500,PUNT
293702,JH-2100,IT-0100,PUNT
294828,RE-0100,DS-1600,FG
296143,SJ-0700,,XP
296155,JT-1100,,FG
296426,VF-0100,,PUNT
297972,BP-0900,BP-0900,PUNT
298167,TB-3100,,XP
303333,AB-3300,,FG
303494,SR-1000,,FG
303966,DE-0500,,XP
305094,KV-0100,,XP
306206,II-0100,,FG
308653,TK-0200,JT-1600,FG
309185,II-0100,AA-1500,FG
309592,SR-1000,KK-0400,FG
309641,DM-0200,,FG
309744,II-0100,,XP
310078,DR-2600,,FG
311715,AC-0400,NR-0100,FG
312144,JP-2000,RM-0800,FG
313143,GA-0100,,XP
313516,TS-0700,,PUNT
314152,MB-3100,,XP
315747,JB-7500,,FG
316103,KG-0700,,XP
316604,CC-0500,PW-0600,FG
316915,MN-0700,,PUNT
316988,CS-2700,CF-0600,PUNT
322121,JR-2200,,FG
323175,BP-0900,,PUNT
325028,DD-2200,DD-2200,PUNT
325096,JP-2000,,FG
325459,JA-0900,,FG
326818,FR-0100,,FG
328320,CT-1500,BM-1400,PUNT
332783,KG-0700,,FG
335084,MC-1800,,PUNT
336020,JT-0900,GS-1300,FG
336649,DB-3300,DB-3300,PUNT
336665,KW-0700,AE-0600,PUNT
338411,DM-1100,BA-1500,PUNT
338469,CT-1500,CG-1700,PUNT
338708,CF-0600,,PUNT
340066,AO-0200,,XP
342200,NC-0200,,FG
346015,CT-0600,,FG
347059,KW-1400,JA-0900,FG
347579,KB-2400,KB-2400,PUNT
348118,DM-1100,BL-1200,PUNT
348752,ML-0500,JB-0300,PUNT
352792,KJ-0400,DJ-1400,FG
353163,JA-0100,,PUNT
356532,KW-1400,AW-1800,FG
357159,GH-0700,GH-0700,PUNT
357431,JD-1775,,FG
358176,RM-2400,DS-4800,FG
358423,SM-3200,MB-1200,PUNT
359673,CS-3800,GW-1800,PUNT
359720,PW-0900,,FG
360095,ML-0500,NC-0200,FG
360732,JJ-3700,,FG
361672,LW-0100,,FG
362687,SR-1000,SR-1000,FG
364387,AB-3300,,XP
364991,IE-0100,JS-4800,PUNT
365546,AF-1200,WG-0500,PUNT
365864,GS-0900,RN-0300,FG
366089,JJ-4300,ST-1200,FG
368438,FR-0100,EJ-1000,FG
370721,SR-1000,,FG
371377,CP-1900,,PUNT
371764,JM-2400,,PUNT
372492,HG-0300,,FG
374990,JA-1500,CL-1300,FG
376771,TC-2000,,FG
376807,JT-3800,KD-1100,FG
376824,TT-1000,,FG
378101,JP-2000,,XP
379236,BC-1400,SP-1300,PUNT
380154,DR-2800,RH-2900,FG
380323,VW-0200,,XP
383222,AB-3300,,FG
385370,CA-0800,PC-0600,PUNT
386171,FW-0300,,XP
387565,AS-1300,,FG
387867,JM-3200,JM-3200,PUNT
388133,JP-2000,,FG
388859,DW-2400,,FG
388957,GS-0900,MJ-0900,FG
