pid,type,bc,psr,trg,conv
206833,PASS,,JH-1700,TS-3400,1
207025,PASS,,BF-0100,DD-2600,1
207676,PASS,,DM-2200,CL-0900,0
208150,PASS,,AF-0300,MB-2800,0
208160,PASS,,AF-0300,CC-1300,0
208830,PASS,,JK-1500,KW-0700,0
209105,PASS,,CH-4900,DC-1900,0
209318,RUSH,EJ-0200,,,1
210394,PASS,,BG-1900,JG-0500,0
211413,PASS,,JD-1400,MS-0700,1
212720,RUSH,WD-0700,,,0
212836,PASS,,CP-0900,AB-1100,0
212866,RUSH,SJ-0200,,,1
213066,PASS,,JH-1700,RW-3200,0
213241,PASS,,DC-4400,OS-0700,1
213384,PASS,,VT-0200,JW-6000,1
215340,PASS,,KC-2000,RM-5000,0
216734,PASS,,KW-0500,AB-1300,0
217224,RUSH,SJ-0200,,,0
218408,PASS,,DC-4400,MR-1400,1
219496,PASS,,MS-0200,AC-2700,1
221194,PASS,,AB-2900,ZH-0100,0
221885,PASS,,DB-2600,DC-0300,0
221983,PASS,,DB-2600,KJ-0700,1
223340,PASS,,,,0
223394,PASS,,DM-2200,BW-1000,1
224663,PASS,,JM-2900,AB-2000,0
224854,PASS,,BF-0100,AC-1300,0
224864,PASS,,JD-1400,SS-2100,0
224874,PASS,,BF-0100,DM-0300,1
224896,PASS,,BF-0100,RF-0300,1
225233,PASS,,MS-0200,BF-0400,1
225903,PASS,,MB-4500,DP-0500,0
226406,PASS,,DC-0700,CB-2500,1
227215,RUSH,LT-0600,,,0
228291,PASS,,TG-1600,MB-2600,1
229543,RUSH,MF-0300,,,1
230482,PASS,,DC-0700,MR-1000,0
231972,RUSH,MW-2900,,,0
233661,PASS,,SM-2400,CB-3600,0
235005,PASS,,KC-2000,JP-3400,0
235026,RUSH,LJ-1500,,,1
235654,PASS,,BB-2400,WC-0100,0
236282,PASS,,PM-0200,RW-1100,0
236471,PASS,,MV-0300,BF-0400,1
237021,RUSH,OA-0300,,,1
237525,PASS,,TB-2300,TB-3300,0
237560,PASS,,GF-0400,RB-3900,0
237564,RUSH,HE-0300,,,1
237745,RUSH,TB-0400,,,1
237901,PASS,,JP-3200,JP-4400,1
238173,PASS,,MB-4500,CP-2100,1
238242,RUSH,MA-0600,,,1
240387,PASS,,KD-1400,JM-6400,0
240532,PASS,,KW-0500,AB-2000,1
240560,PASS,,JM-1100,AH-1450,1
242022,PASS,,CP-0500,MS-0500,1
242034,RUSH,JG-3500,,,1
242353,PASS,,TB-2300,CF-0300,0
242536,RUSH,RD-1800,,,0
243062,PASS,,EM-0200,JS-2700,1
243431,PASS,,KD-1400,TJ-0400,1
246028,RUSH,OA-0300,,,1
247620,RUSH,DG-0600,,,1
254852,PASS,,MS-0200,BF-0400,1
256017,PASS,,MC-0700,BC-0900,0
258231,PASS,,PM-0200,RW-1100,1
259955,RUSH,TH-1400,,,1
259970,PASS,,KC-2000,DB-1700,1
260948,RUSH,CK-0900,,,0
261373,PASS,,DC-4400,CC-1300,0
265133,RUSH,RD-0700,,,1
265278,PASS,,SM-2400,TH-1100,0
265478,PASS,,EM-0200,AT-0900,0
266402,RUSH,VY-0100,,,1
266767,PASS,,RB-3900,CC-1300,0
266929,PASS,,BJ-1400,TT-0400,0
267100,PASS,,DB-3800,JH-5200,1
267575,PASS,,MB-4800,IB-0200,1
271941,PASS,,MB-4500,SM-3600,1
273235,PASS,,JH-1700,MB-2800,1
274685,PASS,,PM-0200,MH-1200,0
274730,PASS,,MB-4500,CC-4300,1
274854,RUSH,TR-0800,,,1
275182,PASS,,MS-0200,EB-0900,0
275388,PASS,,DB-3800,BM-2200,1
275546,PASS,,SR-1200,AJ-0900,0
275855,PASS,,DH-4300,TG-1300,1
276475,PASS,,PM-0200,RW-1100,1
276926,PASS,,TR-0800,TO-0200,1
277485,PASS,,TR-0800,PC-0900,0
