pid,type,bc,psr,trg,conv
798122,PASS,,CB-1145,GK-0075,0
798531,RUSH,TH-1625,,,0
798597,PASS,,AS-1600,CT-1220,0
798908,PASS,,JW-5650,ME-0600,0
799109,PASS,,BR-1100,JS-4750,1
799252,PASS,,BM-0650,AC-0237,1
799565,PASS,,BO-0650,KS-2350,1
800236,PASS,,CN-0500,TS-2300,1
801363,PASS,,MM-0912,TT-0150,0
801595,RUSH,MM-0050,,,1
802112,RUSH,LB-0500,,,0
802472,PASS,,CN-0500,JW-6560,1
803312,PASS,,EM-0200,OB-0075,0
803332,RUSH,SB-0212,,,1
803594,PASS,,BB-2425,DW-2275,0
803785,PASS,,CN-0500,CM-1225,0
804152,PASS,,RF-0500,CG-1425,1
804425,RUSH,PL-0275,,,0
804812,PASS,,BM-0650,SD-0534,0
804910,PASS,,AL-1100,CR-1525,1
805129,PASS,,JR-3250,LF-0200,1
805216,RUSH,TG-1950,,,0
805241,PASS,,JG-1850,TG-1950,1
805592,PASS,,TB-2300,CP-0750,0
806089,PASS,,NP-0182,TP-2400,0
806337,PASS,,BM-0650,DR-0550,0
806360,PASS,,BM-0650,JL-0215,0
806407,PASS,,,,0
807115,PASS,,PR-0300,AG-0500,0
807373,PASS,,JG-1850,GE-0400,1
807991,PASS,,MT-1800,TB-3950,1
808015,PASS,,MS-4100,KG-0650,0
808023,PASS,,MS-4100,KG-0650,0
808329,PASS,,,,0
808574,RUSH,MM-0050,,,1
808784,PASS,,PM-0025,TK-0150,0
809557,RUSH,TG-1950,,,0
810358,RUSH,GE-0150,,,1
810451,PASS,,MT-1800,JB-2950,1
810524,PASS,,MT-1800,AS-0775,1
810539,PASS,,KC-2350,AT-0350,1
810561,PASS,,KC-2350,KR-1200,0
810713,PASS,,CN-0500,JW-6560,0
811638,RUSH,CK-0250,,,0
811789,PASS,,BR-1100,JJ-0725,0
812108,PASS,,CD-0300,AR-1250,0
812144,PASS,,MS-4100,KG-0650,0
813492,PASS,,EM-0200,EP-0350,0
813553,RUSH,CC-2350,,,1
813612,RUSH,JA-0275,,,1
814724,PASS,,MR-2500,AH-3650,0
815388,PASS,,BM-0650,AC-0237,0
815682,PASS,,JA-1087,ZJ-0100,1
816021,PASS,,PR-0300,AG-0500,1
816030,PASS,,PR-0300,KA-0650,1
816347,RUSH,JR-2075,,,0
816876,RUSH,NM-0687,,,0
817035,PASS,,CW-1425,GT-0100,1
818520,RUSH,AK-0050,,,1
818709,PASS,,JJ-3500,VD-0100,1
818719,PASS,,JJ-3500,MF-0950,1
818820,PASS,,JD-2850,GB-0350,0
818891,PASS,,,,0
819702,PASS,,RW-3850,TL-1025,1
819877,PASS,,PR-0300,MW-2825,1
820296,PASS,,MR-2500,MH-0225,0
820424,RUSH,BA-0850,,,0
820569,PASS,,,,0
820780,PASS,,AR-1300,DA-0212,1
822265,PASS,,DB-3800,MT-0875,1
822607,RUSH,GE-0150,,,0
823205,PASS,,JD-2850,CC-4450,1
823709,PASS,,,,0
823883,RUSH,AR-1300,,,1
823973,PASS,,,,0
824458,PASS,,BR-1100,ER-0462,1
824710,RUSH,PM-0025,,,1
825794,PASS,,MT-1800,NK-0800,1
826243,PASS,,EM-0200,EE-0400,1
826300,PASS,,DP-2037,MG-0175,1
826605,PASS,,JW-5650,CG-1425,0
826613,PASS,,JW-5650,AH-3862,0
827060,PASS,,CK-0250,CS-4462,1
827254,PASS,,NM-0687,TT-0450,1
827385,RUSH,DJ-1325,,,1
827697,RUSH,MD-0150,,,1
827744,RUSH,CC-0750,,,1
827860,PASS,,PR-0300,MW-2825,1
828038,PASS,,MT-1800,TG-0025,0
828063,RUSH,WS-0650,,,0
828354,PASS,,DP-2037,AC-2350,1
828560,PASS,,PR-0300,KA-0650,1
828591,PASS,,PR-0300,MW-2825,0
