pid,psr,ints,iry
174173,JD-1400,NB-0100,16
174269,JM-2900,EW-1400,14
174293,TB-2300,DM-0100,0
174317,TB-2300,JD-0200,65
174363,JM-2900,EW-1400,13
174521,MB-4800,AB-1000,0
174645,BR-1100,AT-0400,8
174697,BR-1100,CM-1200,51
174801,JG-0600,DN-0800,19
174817,VT-0200,AH-2700,51
174829,VT-0200,DM-1500,2
174833,JG-0600,PH-0900,2
174838,VT-0200,RG-2000,18
174843,JG-0600,TN-0400,21
174909,DC-0700,KS-1400,2
174949,JH-1700,AG-0800,23
175053,RG-2300,DS-1600,0
175076,BF-0100,MG-1500,0
175161,BF-0100,BG-1500,31
175378,JD-1400,EW-0300,0
175439,JD-1400,EW-0300,43
175479,TG-1600,CG-0200,13
175666,KD-1400,AA-1200,19
175727,MB-4500,FR-0100,13
175788,PR-0100,BA-0300,0
175807,PR-0100,GW-1500,0
175817,PR-0100,BA-0300,1
175914,DB-2600,RB-4600,27
176001,DB-3800,EC-0300,1
176075,DB-3800,JM-3200,0
176153,MH-1600,DB-4200,3
176180,BJ-1400,MT-1900,41
176300,CS-1700,MB-3100,6
176426,SM-2400,NH-0300,0
176524,CP-0500,JT-0900,-3
176528,AF-0300,TJ-0800,0
176551,AF-0300,BS-2000,50
176789,DC-4400,IR-0200,15
176909,MV-0300,AW-1500,11
177007,CP-0500,ER-0100,40
177065,CP-0500,ER-0100,50
177109,CP-0500,CW-2400,18
177617,DP-0800,DT-1600,5
177631,DC-0700,EW-0300,0
177725,TG-1600,MC-2100,102
177783,BR-1100,PS-1000,0
177788,AF-0300,DT-1900,0
177799,AF-0300,TP-1600,10
178185,JG-0600,GW-1500,0
178273,KD-1400,KL-1500,25
178400,KD-1400,KH-0300,0
178614,SM-2400,RM-1300,21
178843,BJ-1400,PB-0800,32
178881,KC-2000,BK-0600,16
179299,DB-2600,TP-1900,21
179501,JD-1400,BS-1500,22
179527,JD-1400,KM-0500,35
179658,DM-2200,NV-0100,-3
179913,KW-0500,DS-1600,18
179950,BF-0100,WP-0200,0
180027,DP-0800,TC-2700,6
180149,KC-2000,DR-2600,25
180176,KC-2000,DF-0100,0
180197,KC-2000,DR-2600,61
180324,PM-0200,DS-2700,0
180431,CP-0900,AF-1400,47
180444,JF-1400,DA-0100,66
180472,JF-1400,VH-0300,2
180664,CP-0500,TP-1600,26
180672,CP-0500,CS-1100,23
181030,TR-0100,JB-8500,10
181377,MV-0300,AL-0800,33
181631,VT-0200,WP-0200,9
181729,JP-3200,JP-2000,97
181741,JP-3200,RM-0500,0
181989,KC-2000,NH-0300,0
182062,PM-0200,PB-0800,0
182085,KC-2000,CJ-2500,0
182121,KC-2000,JD-0400,34
182136,TB-2300,PS-1000,0
182147,JF-1400,RG-0600,10
182423,AB-2900,BK-0600,10
182570,CP-0900,JP-3800,3
182608,DB-2600,TB-3700,12
182621,BR-1100,CC-5000,20
182818,BL-0600,DF-1200,40
182884,BL-0600,JF-2100,0
183066,JM-2900,JW-5500,1
183162,MB-4800,KL-1500,0
183198,MB-4800,KL-1500,0
183265,MB-4800,MT-1900,5
183359,KB-1300,FS-0400,17
183371,KB-1300,SS-2600,12
183381,KB-1300,TF-1300,22
183418,MB-4500,DS-0400,23
183541,BF-0100,LT-0300,31
183562,BF-0100,TW-2200,13
183567,BF-0100,LT-0300,0
183646,DB-3800,KB-2100,2
183711,MV-0300,DF-1200,3
183804,JF-1400,TS-2900,11
183995,MB-4500,JA-3100,70
184092,JQ-0100,ST-0100,45
184106,JG-0600,TJ-0800,0
184141,JG-0600,TJ-0800,23
184189,CP-0500,AH-2700,0
184512,JH-1700,DS-1600,36
184724,TG-1600,DC-3700,0
184734,MH-1600,WM-0500,27
184748,MH-1600,TL-0500,0
184848,TB-2300,MB-3100,0
185049,TR-0100,JV-0500,14
185075,JP-3200,MA-0900,23
185145,KC-2000,KH-1600,2
185273,JD-1400,DJ-2600,0
185300,JD-1400,RH-2900,20
185314,JD-1400,LS-0800,64
185326,DM-2200,RM-0500,0
185367,JD-1400,LS-0800,0
185380,SM-2400,AG-0800,0
185384,DC-0700,AW-2000,25
185390,SM-2400,DR-2600,0
185487,SM-2400,KW-2400,0
185523,SM-2400,MC-2100,14
185534,DC-4400,AA-1200,0
185564,AB-2900,AW-1800,56
185594,DC-4400,FB-0700,0
185804,MB-4800,IG-0200,31
185844,BG-1900,JB-8500,0
185868,MH-1600,RH-2200,2
185928,MH-1600,KD-0100,2
185987,JM-2900,KL-1500,21
186019,MH-1600,DS-4000,5
186028,MH-1600,DM-0100,2
186060,DB-2600,DS-0400,48
186149,DB-2600,DS-0400,0
186162,DB-2600,CW-2400,94
186168,DB-2600,ER-0100,14
186294,JD-1400,TK-0300,0
186371,JG-0600,LS-0800,0
186404,DM-2200,AD-0300,3
186762,BL-0600,JD-0400,0
186884,MV-0300,GW-0600,0
186933,MV-0300,EW-0300,6
187087,MB-4800,SK-0500,0
187220,BV-0200,AW-1800,30
187244,BV-0200,RS-1500,19
187305,BV-0200,TS-1300,22
187530,KW-0500,CC-1100,0
187728,KC-2000,TJ-2500,55
187905,CK-1000,RB-0700,23
187988,CP-0500,CB-0100,0
187995,JP-3200,DO-0200,29
188078,JP-3200,TJ-0800,19
188318,VT-0200,DB-2800,55
188342,VT-0200,BM-0200,12
188366,VT-0200,DB-2800,30
188416,JH-1700,LF-0700,0
188472,JP-3200,PK-0200,0
188492,JP-3200,KB-2100,12
188585,JP-3200,KM-0500,66
188717,BL-0600,KW-2400,0
188752,BL-0600,DF-0100,43
188930,PM-0200,GW-0600,65
188973,DC-4400,GW-1500,39
189034,DC-4400,WA-0200,11
189177,KB-1300,ML-1600,0
189302,TB-2300,DT-1900,39
189323,TB-2300,IT-0100,0
189500,KC-2000,CH-1900,13
189573,KC-2000,SD-0200,4
189645,MH-1600,BA-0400,21
189731,JD-1400,MT-1900,58
189828,BV-0200,MW-2000,51
189858,CP-0500,AD-1700,16
189975,MB-4500,BJ-2500,23
189976,BF-0100,SS-2600,28
190058,BF-0100,SS-2600,29
190065,BF-0100,FS-0400,0
190071,MB-4500,AH-1000,29
190114,CK-1000,RH-1400,14
190237,KD-1400,NV-0100,71
190381,JF-1400,JM-3200,0
190400,JF-1400,TB-3700,0
190533,CP-0900,LM-1300,11
190678,KC-2000,WW-0800,0
190791,VT-0200,TJ-0800,0
190857,VT-0200,DO-0200,0
190876,VT-0200,MW-2000,0
191213,JH-1700,FS-0400,0
191355,AF-0300,DS-4000,41
191507,KW-0500,NV-0100,41
191513,KW-0500,JA-3100,5
191664,BR-1100,BD-0700,32
191691,DM-2200,JF-0500,41
191778,AB-2900,JW-5000,12
192049,TR-0100,AS-1000,23
192174,MB-4800,RP-0800,26
192342,TG-1600,DS-3100,0
192385,TG-1600,JP-2700,0
192556,JG-0600,ER-0100,106
192945,MV-0300,RB-0700,0
193006,BG-1900,AR-1700,8
193027,BR-1100,DM-1500,-2
193083,JG-0600,TP-1600,0
193158,KH-2100,TP-1600,0
193408,DC-0700,JN-0700,0
193439,DC-0700,GB-0700,0
193442,PM-0200,AG-0800,14
193473,PM-0200,AP-0500,20
193503,DC-0700,VH-0500,77
193558,JH-1700,RM-1300,21
193768,AB-2900,GW-0600,2
193808,TG-1600,MM-2700,14
193853,TG-1600,OR-0300,0
193920,LJ-1500,ER-0100,104
194065,TR-0100,WW-0800,0
194122,TR-0100,MF-0400,14
194180,TR-0100,BB-3600,8
194192,TR-0100,CG-0200,0
194227,MH-1600,JB-8500,0
194430,CK-1000,AD-1700,21
194439,BV-0200,MH-2100,45
194500,CK-1000,AD-1700,0
194543,CP-0500,ST-0100,0
194559,MB-4500,BS-2000,11
194619,CP-0500,WH-0200,31
194646,PR-0100,TJ-0800,1
194719,PR-0100,KH-1700,0
194756,DB-2600,EW-1400,0
194790,DB-2600,TB-3400,29
194842,DB-2600,TB-3300,17
194845,TB-2300,NC-0200,35
194873,JL-2800,TB-0300,4
195024,VT-0200,LS-0800,101
195133,VT-0200,ER-0100,2
195166,VT-0200,CW-2400,44
195220,DB-2600,TF-0500,30
195300,MB-4800,TS-2900,0
195329,MB-4800,SA-0200,0
195352,MB-4800,TM-1900,0
195416,JD-1400,AW-1500,27
195423,SK-0400,CB-2700,3
195436,SK-0400,CB-2700,76
195528,SK-0400,CG-0200,0
195621,CK-1000,JJ-1300,0
195643,PM-0200,NV-0100,30
195678,CK-1000,MD-0800,0
195761,CP-0500,JF-0500,14
195972,QC-0100,EL-0400,28
196028,SM-2400,DD-0100,7
196128,SM-2400,DW-1400,0
196169,DG-0600,RG-0300,-1
196240,DC-4400,BM-0200,7
196322,JH-1700,AW-1800,3
196387,AB-2900,AW-1600,7
196466,AB-2900,CB-0100,0
196500,AB-2900,RH-1300,76
196579,EM-0200,JW-1600,18
196619,EM-0200,BS-2500,19
196916,DM-2200,ST-0100,10
196981,PR-0100,IR-0200,7
197038,AF-0300,AC-1800,0
197064,TD-1400,AF-1400,0
197132,TD-1400,PS-1000,0
197163,AF-0300,MB-3100,63
197203,BG-1900,TP-0400,26
197226,BG-1900,TP-0400,13
197299,TR-0100,TC-2800,55
197418,BF-0100,AG-0800,0
197474,BF-0100,DR-2600,0
197567,TG-1600,RH-1100,12
197708,DH-2500,RM-3400,45
197749,VT-0200,RM-3400,40
197780,JQ-0100,TN-0400,11
197809,JQ-0100,DN-0800,2
197975,MM-2800,WB-0100,0
198095,SK-0400,JV-0500,6
198125,JM-2900,DB-0900,14
198130,JM-2900,TB-3700,18
198214,AB-2900,AR-1700,14
198250,MV-0300,CG-1800,8
198298,AB-2900,DH-0700,2
198353,JD-1400,BK-0600,0
198389,BG-1900,JP-2000,46
198452,CP-0500,AH-2700,32
198484,CP-0500,AD-0300,30
198529,KH-2100,TJ-0800,13
198590,CP-0500,BG-0200,30
198615,KH-2100,DO-0200,31
198638,DC-0700,SM-1600,11
198760,SM-2400,MM-2400,24
198923,TG-1600,DE-0400,13
198981,DC-4400,DD-0100,16
199112,KB-1300,RG-0600,13
199325,EM-0200,QM-0200,0
199358,EM-0200,BD-0700,0
199559,PR-0100,DT-1900,15
199641,AF-0300,MA-0200,0
199773,DB-2600,KH-0300,24
199807,DB-2600,KL-1500,0
199834,DB-2600,KH-0300,33
199836,MH-1600,TM-1900,0
200014,JP-3200,PB-0800,37
200030,KC-2000,EJ-0700,32
200041,KC-2000,JL-3400,2
200165,MB-4800,AC-0600,0
200343,KB-1300,MW-2000,0
200346,CP-0500,ER-0100,24
200418,DC-4400,JA-3100,52
200464,DC-4400,BU-0200,42
200558,DC-4400,JA-3100,1
200591,LM-0800,RH-1100,0
200657,TB-2300,LS-0100,12
200725,LM-0800,TB-3300,0
200808,JH-1700,DM-0100,16
200821,JN-0500,DB-2800,0
200848,JN-0500,TL-0700,1
200854,JN-0500,DB-2800,22
200883,JN-0500,JH-0300,30
200945,BV-0200,JD-0400,1
201001,PM-0200,AD-1700,44
201039,PM-0200,LT-0300,9
201077,BV-0200,GB-0700,2
201097,AF-0300,NC-0200,5
201169,AF-0300,TS-2900,33
201222,AF-0300,RB-0400,26
201259,AF-0300,PW-0900,20
201262,AF-0300,TM-1900,21
201372,AB-2900,AH-2000,9
201421,AB-2900,WW-0800,23
201502,CP-0900,DR-2600,20
201504,DC-0700,DB-0900,0
201556,DC-0700,EC-0300,37
201637,TG-1600,CW-3700,25
201769,BF-0100,BD-0700,8
201791,BF-0100,SB-1700,0
201939,JP-3200,DF-1200,0
201957,DB-3800,KK-0400,21
201959,JP-3200,SF-0300,4
202019,JP-3200,SP-1100,0
202092,JP-3200,JW-5000,0
202167,CC-1400,TP-0400,0
202228,TR-0100,JB-8500,-1
202295,MV-0300,DS-3100,0
202362,BG-1900,CD-2000,33
202395,MV-0300,BK-0600,75
202403,MS-0200,RN-0100,2
202827,VT-0200,TB-1500,10
202853,VT-0200,KH-0300,12
202926,JM-2900,TP-0400,25
203147,KC-2000,RC-1700,39
203248,EM-0200,GB-0300,33
203315,EM-0200,ER-0100,6
203432,LM-0800,TV-0200,8
203435,DB-2600,LS-0100,24
203520,LM-0800,NC-0200,5
203575,CC-1400,RM-0500,30
203640,CC-1400,WW-0800,25
203650,CC-1400,CG-0200,0
203680,CC-1400,RM-0500,16
203701,CC-1400,DM-3500,9
203705,JD-1400,JB-8500,6
203710,CC-1400,DM-3500,11
203765,AB-2900,LF-0700,2
203778,VT-0200,MM-2700,5
203811,AB-2900,RW-3100,20
203891,VT-0200,FB-0700,0
203912,JP-3200,JW-4300,0
203982,AF-0300,AW-1600,10
204040,JP-3200,SK-0500,0
204235,DC-0700,JD-0400,1
204532,CH-4900,DD-0100,20
204550,BL-0600,NV-0100,38
204613,MH-1600,BW-2200,0
204651,MH-1600,BR-1500,41
204712,RM-5000,MB-3100,0
204780,CP-0500,AS-0100,34
204851,JK-1500,TB-3300,5
204907,CP-0900,TP-1600,22
204961,CP-0900,JF-0500,22
204963,BR-1100,DA-0100,0
204986,BR-1100,RT-1200,23
205029,CP-0900,CH-3800,41
205055,DB-3800,RB-0700,0
205063,BG-1900,DE-0400,4
205085,DB-3800,WA-0100,0
205114,BG-1900,QJ-0100,12
205180,BG-1900,DE-0400,30
205328,DM-2200,SS-2600,10
205363,PR-0100,BD-0700,0
205435,TG-1600,MW-0100,0
205644,MV-0300,CG-0200,2
205681,MV-0300,CG-0200,0
205735,JD-1400,AB-1000,30
205747,BR-1100,FW-0300,10
205819,BR-1100,BA-0300,2
205879,EM-0200,WW-0700,0
205916,KD-1400,ST-0100,30
205943,KD-1400,RW-0800,39
205965,KD-1400,AP-1200,78
206047,KD-1400,WH-0200,0
206079,CC-1400,DM-0100,0
206250,PE-0100,AG-0800,3
206288,CH-4900,DR-2600,40
206438,JK-1500,TS-2900,62
206469,JK-1500,CK-0300,3
206563,LM-0800,DE-0400,0
206786,JH-1700,CC-1500,0
206789,DC-4400,BM-0200,24
206814,JH-1700,BW-2200,14
206970,BF-0100,RM-1300,0
206997,BF-0100,RM-1300,0
207011,BF-0100,DG-2400,0
207071,JP-3200,DM-1000,23
207120,JP-3200,DM-1000,0
207260,MH-1600,EB-0400,7
207475,BV-0200,DW-0600,45
207477,KC-2000,KB-2400,0
207610,DM-2200,TN-0400,0
207632,DM-2200,RW-3100,33
207635,VT-0200,SB-1700,33
207680,VT-0200,LS-0800,7
207769,BG-1900,MM-2700,0
207915,KB-1300,MD-0800,32
207998,KB-1300,CJ-2500,71
208073,TB-2300,SK-0500,0
208089,TB-2300,SK-0500,32
208154,TB-2300,BA-1500,2
208163,TB-2300,AF-1400,14
208289,BF-0100,CC-1800,15
208329,TG-1600,TB-2600,24
208515,KC-2000,BS-0700,0
208525,BV-0200,DW-2900,10
208604,JP-3200,KB-2400,25
208642,BV-0200,KH-1600,15
208746,JK-1500,FW-0300,10
208832,EM-0200,CP-2200,-2
208848,PR-0100,LS-0400,2
208880,PR-0100,TN-0400,-1
208932,VT-0200,SS-2600,38
209104,JH-1700,LB-0900,38
209173,PM-0200,DE-0400,2
209323,DB-3800,RM-4900,39
209397,DC-0700,DG-2400,4
209398,BL-0600,KW-2400,0
209401,DC-0700,DW-1400,0
209533,AB-2900,KB-2100,27
209562,AB-2900,AB-1000,0
209632,MS-0200,MM-2700,0
209645,MS-0200,MM-2700,0
209659,CP-0900,TB-3400,36
209766,CP-0900,EW-1400,24
209835,BR-1100,WD-0500,0
209841,KB-1300,JP-3600,3
210032,KD-1400,NC-0200,0
210054,CP-1500,LM-1300,9
210068,CP-1500,JS-5800,0
210137,JM-2900,KL-1500,0
210215,JM-2900,MT-1900,6
210237,TD-1400,DS-4000,0
210278,BG-1900,CB-2700,0
210405,BG-1900,KM-2800,17
210433,LM-0800,PS-1000,2
210517,LM-0800,AF-1400,1
210820,JM-2900,DS-3100,13
210824,CS-1700,DD-2000,20
210911,CS-1700,AW-1500,24
210982,SR-1200,JJ-2700,6
211012,SR-1200,ER-0100,41
211052,SR-1200,AW-0800,1
211122,DB-2600,LF-0500,1
211138,TM-0200,TS-2900,16
211190,TM-0200,NC-0200,30
211482,CH-4900,DS-1600,43
211811,KH-2100,DF-0100,4
211821,KH-2100,JS-3100,0
211924,TB-2300,DC-0600,31
212104,KC-2000,RM-1300,0
212110,KC-2000,DD-0100,0
212138,BL-0600,TJ-1700,8
212200,KC-2000,DD-0100,37
212300,KD-0600,TJ-0800,10
212330,KD-0600,DO-0200,0
212335,JB-3800,RG-0700,36
212421,TG-1600,MW-1700,0
212436,MS-0600,GW-0600,25
212468,TG-1600,TK-0300,31
212527,TG-1600,AD-1200,1
212563,TG-1600,DF-1200,9
212617,MH-1600,DH-0700,48
212652,MS-0200,MT-1900,31
212785,MB-4800,EC-0300,1
212835,MB-4800,JV-0500,38
213051,JH-1700,AD-1700,43
213112,PR-0100,KW-1400,7
213292,PC-0900,CB-5100,12
213330,EM-0200,DN-0800,-2
213464,DB-3800,RT-1200,22
213586,MH-1600,TF-0500,0
213588,MB-4800,KH-0300,0
213761,BF-0100,AW-1800,3
213805,BF-0100,BR-1500,14
213833,BF-0100,RB-3400,27
213850,BF-0100,BW-2200,0
213943,JP-3200,MD-0800,0
213948,PM-0200,KH-1600,0
214160,MB-4800,JW-1600,0
214231,CP-0900,TP-1600,14
214309,BR-1100,RT-1200,86
214346,BR-1100,DB-0900,24
214531,PM-0200,RH-1100,9
214631,DC-4400,IR-0200,3
214643,DC-4400,JT-3400,35
214795,MV-0300,BD-0700,19
214849,BR-1100,EW-1400,0
214908,BR-1100,RH-1100,87
214975,BR-1100,EW-1400,0
215028,DM-2200,RH-1100,-1
215137,DM-2200,TB-3400,0
215163,DM-2200,RH-1100,6
215378,DC-0700,TV-0200,0
215451,DC-0700,TV-0200,22
215497,DC-0700,LM-1300,0
215569,JD-1400,MM-2700,11
215581,JD-1400,JC-5500,5
215747,TD-1400,OT-0200,14
215777,TD-1400,KR-0300,16
215794,CP-0500,LB-0600,0
215949,BF-0100,KK-0400,0
215972,BF-0100,TH-2200,0
216026,MH-1600,DG-2400,29
216112,MH-1600,DS-2700,0
216186,CP-0900,PS-1000,53
216191,TG-1600,TL-0500,0
216351,GF-0400,CB-0100,11
216448,JP-3200,LS-0300,25
216461,JP-3200,TD-0200,4
216488,DC-4400,BK-0600,2
216500,BG-1900,DS-1600,88
216520,BG-1900,FS-0400,0
216622,DC-4400,BK-0600,14
216628,DC-4400,DB-4200,0
216679,EM-0200,KD-0100,18
216702,EM-0200,KD-0100,2
216722,KW-0500,GW-1500,17
216806,JM-2900,FW-0300,71
216862,SM-2400,TP-1600,6
216934,BV-0200,RC-1600,14
216988,DB-3800,AH-2700,1
217099,DB-3800,AG-0800,0
217268,MB-4800,MA-0200,0
217280,PR-0100,NV-0100,3
217384,KO-0700,LM-0400,7
217426,KB-1300,GB-0700,0
217563,AW-2100,GB-0700,31
217575,AW-2100,CJ-2500,30
217610,MV-0300,BD-0700,0
217614,DM-2200,DH-0700,38
217801,MB-4800,DD-2000,14
217805,KW-0500,DG-3000,0
217973,TB-2300,WW-0800,0
218022,JD-1400,MV-0400,24
218090,JH-1700,IS-0100,3
218155,JH-1700,NV-0100,0
218165,JH-1700,MB-4100,41
218209,JH-1700,NV-0100,24
218223,JH-1700,LB-0900,20
218284,CP-0500,WO-0100,0
218317,DC-4400,TJ-0800,5
218331,DC-4400,DO-0200,0
218346,DC-4400,KK-0100,6
218373,DC-4400,DO-0200,27
218386,DC-4400,DO-0200,0
218492,DB-3800,CB-0100,25
218510,JP-3200,BJ-2500,8
218600,BF-0100,DM-1500,14
218679,BF-0100,GB-0300,0
218893,PM-0200,MP-1000,14
219195,GF-0400,DB-0900,1
219220,TR-0100,DJ-2600,0
219257,TR-0100,LS-0800,34
219267,TR-0100,RH-2900,17
219793,AW-2100,BK-0100,21
220019,MB-4500,TN-0400,12
220224,AB-2900,CE-0500,6
220270,AB-2900,BA-0300,24
220324,AB-2900,SW-1500,0
220415,MV-0300,CK-0300,17
220458,JL-2800,DH-0700,3
220490,KO-0700,BS-2000,-1
220506,KO-0700,KR-0300,1
220531,KO-0700,TJ-0800,0
220548,KO-0700,MW-2000,2
220576,KO-0700,DO-0200,0
220698,BF-0100,BK-0600,3
220770,BF-0100,WA-0100,0
220774,BG-1900,AC-0600,38
220789,BF-0100,WA-0100,26
220836,PM-0200,DM-1500,0
221067,GF-0400,CG-0200,0
221103,JD-1400,LS-0300,37
221144,AB-2900,KN-0200,1
221269,AB-2900,AW-1800,1
221363,CP-0900,DC-3700,0
221449,CP-0900,RM-1300,5
221452,BL-0600,KR-0500,0
221502,DM-2200,WS-0100,3
221729,TB-2300,CH-3800,5
221876,DB-2600,TP-0400,34
221937,DB-2600,TP-0400,0
221954,TR-0100,AS-1200,0
221990,TR-0100,DN-0800,7
222167,JM-2900,JB-0300,17
222191,MB-4800,TW-2200,0
222210,SM-2400,AA-1500,85
222230,SM-2400,MH-2000,24
222714,DC-4400,DH-0700,37
222783,DC-4400,KB-2100,6
222940,AW-2100,EC-0300,0
223246,BL-0600,DF-1600,23
223262,BL-0600,NF-0200,30
223339,TG-1600,SB-1700,40
223382,DM-2200,DM-1000,0
223423,TG-1600,SB-1700,20
223591,TB-2300,BJ-2500,0
223602,MC-0700,DE-0400,1
223654,JL-2800,JC-5500,39
223900,MB-4800,AP-1200,24
223938,MB-4800,RT-1400,37
223947,MB-4800,SW-1500,34
224024,DB-2600,CW-3700,0
224165,BG-1900,TL-0700,17
224189,BG-1900,RM-3400,19
224229,BG-1900,TH-2200,51
224333,SM-2400,BS-0500,0
224555,MB-4500,KH-1600,2
224682,TR-0100,RT-0200,22
224808,BF-0100,KL-1500,32
224924,JM-2900,AW-0300,38
224941,JD-1400,RT-0200,25
224995,JM-2900,MM-2400,46
225067,JM-2900,MM-2400,0
225198,TB-2300,DW-3800,0
225314,GF-0400,TM-1900,0
225323,GF-0400,TV-0200,6
225361,GF-0400,NC-0200,0
225424,TD-1400,CT-1500,0
225454,TD-1400,MB-4100,72
225916,AW-2100,DB-2800,8
225949,JH-1700,TS-3500,0
225953,AW-2100,DB-2800,9
225975,JH-1700,CM-1200,0
226111,AB-2900,AH-1000,22
226117,AB-2900,AH-1000,0
226226,TB-1900,NB-0100,95
226363,DC-0700,AW-2000,3
226469,BG-1900,TL-0500,43
226544,VT-0200,RB-0700,0
226625,AS-1600,CJ-2500,24
226631,AS-1600,JD-0400,13
226642,PM-0200,DS-2900,13
226645,AS-1600,MD-0800,0
226663,PM-0200,BT-0800,0
226670,AS-1600,CJ-2500,15
226835,MB-4800,LT-0100,3
227126,DB-3800,JH-2100,25
227293,AW-2100,GB-0300,10
227336,TD-1400,RL-0600,0
227448,KH-2100,TL-0500,0
227469,VT-0200,AC-2500,1
227493,KH-2100,MB-4000,18
227535,VT-0200,TM-1900,71
227642,DC-4400,CT-1500,55
227684,KO-0700,CC-1500,0
227688,DC-4400,CH-1600,44
227750,DB-2600,CD-1300,20
227798,EM-0200,AH-2700,43
228087,JD-1400,BB-0300,34
228105,JD-1400,KK-0400,64
228139,JH-1700,KL-1500,27
228140,JD-1400,DB-2800,0
228418,MV-0300,JB-7500,51
228510,AB-2900,KB-2100,22
228560,KC-2000,BJ-2500,20
228716,TM-0200,TC-2700,-1
228739,TM-0200,MP-1000,14
228871,BL-0600,BM-1300,0
228884,TM-0200,RM-1300,41
229166,SM-2400,OT-0200,30
229204,SM-2400,KK-0100,3
229307,MH-1600,TE-0600,3
229433,MB-4800,CJ-2500,0
229507,JM-1100,CJ-2500,10
229529,JM-1100,NH-0300,21
229692,GF-0400,GW-0600,15
229735,JM-2900,RH-2300,22
229784,BV-0200,DM-0100,60
230128,BR-1100,TJ-0800,0
230131,CP-0500,CH-3800,55
230139,CP-0500,AS-1300,0
230247,TD-1400,DB-2800,5
230276,TD-1400,RM-3400,6
230321,TD-1400,AG-1200,-4
230395,DC-0700,NH-0300,20
230418,PM-0200,DR-2600,1
230798,EM-0200,CB-0100,0
231025,DB-3800,LS-0800,33
231027,DM-2200,DE-0400,14
231114,DM-2200,JF-2100,19
231129,DB-3800,JT-3400,2
231168,MH-1600,TN-0400,0
231238,DB-2600,MB-3100,31
231313,MH-1600,RW-3100,0
231332,DB-2600,JB-0300,25
231495,AB-2900,MF-1800,67
231596,AS-1600,ST-0100,32
231738,MV-0300,JV-0500,2
231765,VT-0200,DH-0700,0
231779,MV-0300,TL-0500,0
231792,MV-0300,DB-0900,4
232046,BF-0100,OT-0200,0
232072,BF-0100,DO-0200,0
232081,BF-0100,DO-0200,21
232086,BF-0100,TJ-0800,0
232094,BF-0100,OT-0200,10
232107,CP-0500,AC-0600,0
232260,JM-2900,AH-2700,58
232283,JM-2900,AG-0800,0
232348,DM-2200,JL-3400,1
232427,DM-2200,DF-1600,0
232628,JG-0600,CT-1500,22
232655,DC-0700,LB-0600,0
232808,GF-0400,DS-3100,28
232863,AB-2900,RH-3100,5
232975,EM-0200,RC-1300,0
233034,MB-4500,AP-1200,17
233233,DB-3800,GW-0600,51
233389,CS-1700,SS-2500,24
233398,CS-1700,BM-3400,12
233473,JM-1100,RM-1300,0
233510,JM-1100,RM-1300,20
233536,JM-1100,DG-2400,0
233567,BL-0600,MF-1800,37
233689,KC-2000,RH-2300,52
233869,KH-2100,AS-0100,0
233976,BR-1100,AT-0400,28
234008,AW-2100,IT-0100,0
234012,AW-2100,CH-3800,0
234120,KW-0500,MT-1900,7
234186,KW-0500,KH-1600,10
234241,KW-0500,JB-0300,14
234480,TD-1400,KB-2400,0
234569,SM-2400,BP-1000,1
234603,CB-0900,RT-0700,24
234692,BF-0100,TC-1100,3
234989,KC-2000,GW-0600,14
235181,GF-0400,KC-0300,1
235253,JH-1700,AW-1800,4
235353,JH-1700,DS-1600,30
235366,KO-0700,FT-0200,4
235408,AB-2900,HH-0300,0
235411,KO-0700,DS-3100,25
235515,AB-2900,NV-0100,5
235591,DB-3800,DB-0900,10
235747,CP-1500,BA-0300,2
235908,CS-1700,CG-0200,61
235985,CS-1700,CG-0200,40
236135,DM-2200,RC-1300,6
236193,PM-0200,MV-0400,-1
236353,BF-0100,DW-3800,6
236545,TG-1600,AC-2500,2
236565,TG-1600,RB-0400,18
236599,TG-1600,TM-1900,33
236670,JD-1400,TL-0500,7
236691,JD-1400,EC-0300,4
236722,BB-2400,KL-1500,0
236730,BB-2400,KL-1500,3
236748,BB-2400,CG-0200,4
236760,BB-2400,WW-0800,35
236867,CP-1500,MB-4100,3
236871,KO-0700,SS-2500,0
237336,KB-1300,TC-2700,3
237371,KB-1300,TC-2700,2
237391,KB-1300,MP-1000,26
237487,TB-2300,TT-1400,22
237529,GF-0400,EH-0800,6
237553,TB-2300,YB-0100,0
237593,EM-0200,DS-1600,0
237616,EM-0200,DS-1600,92
237700,EM-0200,BW-2200,26
237731,EM-0200,DS-1600,31
237781,KC-2000,CB-0100,18
237859,KC-2000,NF-0200,28
237900,KC-2000,DW-3300,80
237951,MH-1600,MF-1800,33
237986,MB-4800,MB-3100,4
238005,MH-1600,DC-2400,16
238102,MB-4500,JB-4100,28
238131,MB-4500,SR-0600,6
238319,TD-1400,JP-3600,9
238477,DB-2600,LS-0800,5
238560,DM-2200,RW-3100,46
238703,CS-1700,KB-2100,5
238758,KB-1300,DT-1900,26
238901,TM-0200,TS-3500,0
238944,JD-1400,NV-0100,46
238962,JD-1400,NV-0100,22
239047,KO-0700,RM-0500,10
239185,PM-0200,KR-0300,35
239237,CP-0500,MJ-0100,46
239284,SR-1200,MS-4800,0
239370,SR-1200,CC-5000,11
239385,CF-1300,TT-1400,16
239662,VT-0200,JL-3400,1
239671,VT-0200,CB-0100,0
239896,AB-2900,EW-1400,0
239973,MM-2800,GW-1500,25
240184,JL-2800,MW-1700,10
