pid,kicker,kgro,knet,ktb,kr,kry
108764,OM-0100,66,32,0,LB-1000,34
108783,OM-0100,66,39,0,LB-1000,27
108785,OM-0100,73,53,1,,0
108808,OM-0100,68,46,0,LB-1000,22
108834,OM-0100,63,50,0,LB-1000,13
108861,RL-1300,63,49,0,ND-0300,14
108869,HE-0100,70,41,0,JW-0400,29
108882,HE-0100,62,48,0,JW-0400,14
108938,RL-1300,62,36,0,ND-0300,26
108943,HE-0100,67,23,0,JW-0400,44
108960,HE-0100,63,42,0,JW-0400,21
108973,RL-1300,67,53,0,MW-2900,14
108998,RL-1300,69,18,0,MW-2900,51
109007,HE-0100,61,34,0,JW-0400,27
109027,HE-0100,65,47,0,JW-0400,18
109037,MB-4600,47,37,0,RC-0800,10
109059,MB-4600,56,39,0,KW-0800,17
109081,JT-4400,52,33,0,DJ-3100,19
109108,JT-4400,68,42,0,DJ-3100,26
109119,MB-4600,57,35,0,LB-0400,22
109129,JT-4400,56,36,0,DJ-3100,20
109140,JT-4400,58,31,0,DJ-3100,27
109165,MB-4600,61,33,0,LB-0400,28
109171,MB-4600,57,40,0,RC-0800,17
109185,MB-4600,63,40,0,KW-0800,23
109222,BG-1300,58,31,0,BM-3300,27
109235,BG-1300,58,13,0,BM-3300,45
109243,DA-0300,64,45,0,MS-1400,19
109271,DA-0300,58,39,0,DA-1000,19
109279,BG-1300,55,32,0,DD-2400,23
109290,DA-0300,63,46,0,DA-1000,17
109300,DA-0300,47,37,0,MY-0300,10
109309,DA-0300,74,54,1,,0
109328,DA-0300,72,48,0,DA-1000,24
109353,DA-0300,65,44,0,DA-1000,21
109379,JC-5000,69,34,0,RC-0100,35
109414,WR-0500,57,34,0,PS-0500,23
109455,JC-5000,64,39,0,RJ-0700,25
109462,WR-0500,72,52,1,,0
109467,JC-5000,65,48,0,RC-0100,17
109484,JC-5000,74,54,1,,0
109522,WR-0500,73,53,1,,0
109540,WR-0500,70,45,0,JW-4600,25
109545,JC-5000,71,32,0,RJ-0700,39
109571,RL-0900,59,32,0,RD-1800,27
109628,MK-1100,59,37,0,KK-0200,22
109648,MK-1100,64,41,0,KK-0200,23
109654,RL-0900,61,31,0,RD-1800,30
109660,MK-1100,64,44,0,KK-0200,20
109673,RL-0900,57,42,0,RD-1800,15
109689,MK-1100,64,44,0,KK-0200,20
109702,RL-0900,67,67,0,,0
109711,MK-1100,63,44,0,KK-0200,19
109729,MK-1100,41,33,0,AP-0100,8
109731,SG-1100,65,40,0,AS-3400,25
109751,SG-1100,70,53,0,AS-3400,17
109778,MG-1200,50,32,0,JW-3000,18
109789,SG-1100,62,31,0,AS-3400,31
109798,MG-1200,72,58,0,NB-0300,14
109817,MG-1200,61,34,0,DB-4600,27
109852,MG-1200,55,40,0,NB-0300,15
109869,MG-1200,62,43,0,DB-4600,19
109879,MG-1200,70,50,1,,0
109895,JN-0600,58,42,0,LM-0600,16
109898,TP-1200,61,13,0,JM-2200,48
109908,JN-0600,48,30,0,DK-1100,18
109969,JN-0600,59,45,0,AR-0200,14
109986,TP-1200,45,35,0,MG-1600,10
110009,JN-0600,65,42,0,LM-0600,23
110019,JN-0600,62,44,0,LM-0600,18
110034,JN-0600,60,42,0,AR-0200,18
110048,TP-1200,8,8,0,,0
110062,TP-1200,8,8,0,,0
110066,SJ-0300,39,28,0,TB-3400,11
110079,AV-0400,67,44,0,MK-1000,23
110103,SJ-0300,67,49,0,DB-3600,18
110120,SJ-0300,74,41,0,DB-3600,33
110136,AV-0400,61,39,0,MK-1000,22
110150,SJ-0300,64,49,0,DB-3600,15
110153,AV-0400,62,45,0,MK-1000,17
110171,SJ-0300,57,45,0,DB-3600,12
110183,AV-0400,63,44,0,MK-1000,19
110221,SJ-0300,56,-30,0,KF-0200,86
110223,AV-0400,25,25,0,,0
110227,PE-0100,62,35,0,TW-2100,27
110239,JW-3300,69,45,0,AM-1800,24
110265,PE-0100,60,42,0,TW-2100,18
110284,PE-0100,57,27,0,TW-2100,30
110305,JW-3300,73,38,0,AM-1800,35
110311,JW-3300,71,34,0,AM-1800,37
110324,PE-0100,70,47,0,TW-2100,23
110361,JW-3300,60,45,0,AM-1800,15
110377,PE-0100,60,55,0,DB-2800,5
110390,SJ-0300,65,48,0,KK-0200,17
110410,SJ-0300,69,53,0,KK-0200,16
110430,SJ-0300,72,49,0,KK-0200,23
110437,BG-1300,70,24,0,MK-1000,46
110457,SJ-0300,74,54,1,,0
110472,BG-1300,66,46,0,MK-1000,20
110480,BG-1300,62,32,0,MK-1000,30
110495,SJ-0300,70,48,0,KK-0200,22
110508,SJ-0300,66,10,0,KK-0200,56
110523,SJ-0300,70,35,0,KK-0200,35
110539,BG-1300,55,41,0,MK-1000,14
110569,SJ-0300,48,30,0,MB-0200,18
110575,MS-5200,66,47,0,EB-0700,19
110581,MS-5200,65,41,0,EB-0700,24
110604,MS-5200,69,52,0,EB-0700,17
110630,JN-0600,66,52,0,LB-1000,14
110660,JN-0600,65,55,0,LB-1000,10
110661,JN-0600,67,29,0,LB-1000,38
110698,MS-5200,51,24,0,JM-2200,27
110709,JN-0600,59,40,0,LB-1000,19
110727,JN-0600,59,45,0,LB-1000,14
110743,JF-0900,59,44,0,NB-0300,15
110766,JF-0900,64,45,0,DB-4600,19
110775,JF-0900,70,48,0,DB-4600,22
110790,JF-0900,60,30,0,,0
110808,JF-0900,69,44,0,DB-4600,25
110820,TS-0500,55,42,0,QM-0100,13
110845,JF-0900,58,39,0,DB-4600,19
110856,JF-0900,66,56,0,DB-4600,10
110893,PE-0100,62,49,0,ED-0900,13
110935,PE-0100,57,31,0,ED-0900,26
110959,JH-0900,65,42,0,AM-1800,23
110973,JH-0900,65,41,0,LJ-1100,24
110995,JH-0900,71,34,0,AM-1800,37
111005,JH-0900,70,45,0,LJ-1100,25
111049,PE-0100,70,50,1,,0
111065,JH-0900,72,35,0,AM-1800,37
111080,TS-1100,64,50,0,MW-1600,14
111130,FF-0200,59,37,0,BS-1700,22
111153,BC-3000,55,48,0,EJ-1100,7
111164,BC-3000,61,31,0,EJ-1100,30
111189,BC-3000,70,50,1,,0
111205,TS-1100,57,35,0,RS-3500,22
111214,BC-3000,51,42,0,PW-0500,9
111241,TS-1100,11,11,0,,0
111249,MB-4600,66,41,0,JL-1600,25
111297,KB-2300,56,38,0,DJ-3100,18
111325,MB-4600,67,27,0,JL-1600,40
111339,MA-0500,55,39,0,JL-1600,16
111342,KB-2300,69,45,0,DJ-3100,24
111362,KB-2300,70,24,0,DJ-3100,46
111386,MA-0500,65,43,0,JL-1600,22
111398,KB-2300,51,33,0,DJ-3100,18
111422,OM-0100,65,36,0,RJ-0700,29
111433,OM-0100,71,47,0,RJ-0700,24
111444,WR-0500,67,56,0,TM-2800,11
111452,OM-0100,59,45,0,RJ-0700,14
111478,OM-0100,67,43,0,RJ-0700,24
111501,OM-0100,50,50,0,,0
111503,WR-0500,61,38,0,TM-2800,23
111531,OM-0100,54,34,0,RJ-0700,20
111542,OM-0100,63,32,0,RJ-0700,31
111569,AV-0400,68,46,0,MW-2900,22
111595,AV-0400,69,47,0,MW-2900,22
111613,AV-0400,59,34,0,MW-2900,25
111629,AV-0400,51,40,0,MW-2900,11
111659,HE-0100,69,45,0,DB-3600,24
111661,HE-0100,68,47,0,DB-3600,21
111690,HE-0100,60,33,0,DB-3600,27
111708,HE-0100,50,42,0,KF-0200,8
111716,AV-0400,67,40,0,MW-2900,27
111754,TG-1500,72,46,0,AD-0400,26
111765,JC-0900,70,50,1,,0
111787,PD-0200,66,38,0,ML-1700,28
111799,JC-0900,65,49,0,AD-0400,16
111825,PD-0200,64,45,0,ML-1700,19
111838,PD-0200,70,50,1,,0
111852,JC-0900,69,49,0,AD-0400,20
111861,PD-0200,70,43,0,ML-1700,27
111882,JC-0900,67,49,0,AD-0400,18
111896,PD-0200,69,40,0,ML-1700,29
111908,JH-0500,70,50,1,,0
111922,MH-3100,38,33,0,JR-1000,5
111933,JH-0500,70,50,0,CR-1500,20
111949,JH-0500,61,45,0,CR-1500,16
111966,JH-0500,57,42,0,CR-1500,15
111980,MH-3100,64,35,0,CM-3100,29
111986,JH-0500,55,39,0,CR-1500,16
111997,MH-3100,68,26,0,CM-3100,42
112012,MH-3100,70,35,0,CM-3100,35
112025,JH-0500,51,35,0,PC-1000,16
112054,NR-0100,58,38,0,AR-0200,20
112065,JR-1100,63,37,0,BB-1700,26
112079,JR-1100,68,31,0,BB-1700,37
112098,JR-1100,59,45,0,BB-1700,14
112107,NR-0100,55,32,0,LM-0600,23
112125,NR-0100,43,36,0,JA-1100,7
112132,JR-1100,62,10,0,BB-1700,52
112155,JR-1100,54,20,0,TH-2700,34
112184,NR-0100,61,33,0,LM-0600,28
112193,JR-1100,60,50,0,TH-2700,10
112201,JR-1100,60,16,0,TH-2700,44
112214,RL-0900,56,40,0,DH-0600,16
112224,MA-0700,62,43,0,JW-4000,19
112239,MA-0700,59,48,0,JW-4000,11
112267,RL-0900,51,39,0,DH-0600,12
112270,MA-0700,62,49,0,JW-4000,13
112280,RL-0900,55,43,0,DH-0600,12
112299,RL-0900,39,30,0,MB-1200,9
112301,MA-0700,52,52,0,,0
112309,RL-0900,63,43,0,DH-0600,20
112336,MA-0700,57,45,0,JW-4000,12
112346,RL-0900,65,48,0,DH-0600,17
112368,RL-0900,58,40,0,DH-0600,18
112376,MA-0700,9,9,0,,0
112378,MG-1200,69,43,0,JW-0400,26
112401,RL-1300,67,41,0,AS-3400,26
112450,RL-1300,63,34,0,AS-3400,29
112469,MG-1200,58,44,0,JW-0400,14
