pid,fum,frcv,fry,forc
457469,RW-3200,MJ-0600,0,MJ-0600
457597,AC-0100,JI-0200,0,
457700,AR-1300,MP-1000,0,CL-1300
457730,GJ-0400,KH-0100,0,TD-0900
457767,GJ-0700,,0,FZ-0100
457782,AR-1300,AR-1300,0,JA-0100
457796,GJ-0400,,0,
457885,LE-0300,TP-1600,0,JH-2100
457918,RM-3900,JB-8800,0,JB-8800
457939,FJ-0100,LE-0300,0,WG-0500
457966,LM-1100,DF-1200,0,KL-0600
458042,MV-0300,MV-0300,0,JP-2000
458077,MV-0300,MM-2600,0,AA-0100
458101,MV-0300,JA-2900,0,
458194,EM-1600,JW-3800,7,JW-3800
458230,JD-1400,JS-5500,0,CJ-1300
458240,CS-2600,CS-2600,0,SM-0700
458414,DG-0600,DG-0600,0,JP-2900
458461,DG-0600,DG-0600,0,JP-2900
458462,DG-0600,AR-1400,5,TT-1000
458476,DM-2200,DM-2200,0,LG-0900
458575,BB-0600,BB-0600,0,
458708,ER-0100,ER-0100,0,
458752,JF-3100,JF-3100,0,
458849,MS-0200,EW-1500,0,WH-0300
459000,JC-2300,MT-1900,0,RL-0700
459051,LW-0500,LW-0500,0,JB-1700
459054,MH-1600,TH-0200,2,DJ-1600
459124,RB-3900,JL-2500,0,MS-1100
459145,MR-0500,YB-0100,4,
459182,JF-2600,,0,VD-0200
459346,ER-0500,JM-6900,0,JM-6900
459362,KM-2900,ND-0400,3,OA-0200
459490,BJ-0800,BJ-0800,0,
459566,JJ-0600,PO-0100,8,SC-1400
459608,DA-1300,AF-1100,0,
459732,TS-2600,AD-1300,0,
459772,MV-0300,LM-1000,0,
459819,TL-0600,TL-1000,0,AF-0900
459893,SS-1600,SS-1600,0,
459906,MS-0200,DT-0100,0,NA-0100
459973,CB-1400,AW-1100,0,SE-0300
459981,CI-0300,DT-0800,0,RG-0700
460159,JC-6200,TM-1300,0,TM-1300
460186,MM-5300,MM-5300,0,BU-0200
460449,DK-0300,,0,TS-1400
460629,DM-1200,MH-0200,0,JB-1300
460650,KO-0700,TH-0200,0,TH-0200
460664,CW-2000,JC-2300,0,
460705,JA-1300,,0,
460783,JC-5600,JC-5600,0,
460869,LM-1100,FW-0300,0,
460887,LM-1100,LM-1100,0,
460924,CM-2000,BR-1000,0,BL-0500
460948,RF-0500,BR-1000,0,JA-0900
460953,RF-0500,RF-0500,0,
460960,RF-0500,BL-0500,0,
461038,AA-1600,KB-2400,10,TT-1000
461070,DM-2200,SH-0800,0,OU-0100
461077,DM-2200,CW-1200,1,DT-1700
461112,DM-2200,DM-2200,0,JT-3800
461113,AR-1500,,0,
461122,KW-1200,AR-1400,-1,JT-3800
461129,CC-4300,JP-2900,0,DG-2400
461325,DS-3300,HE-0200,0,
461383,DM-1600,SP-1100,0,QJ-0100
461503,JC-3100,JC-3100,0,
461552,LW-0500,LW-0500,0,
461760,MH-0300,MH-0300,0,FR-0100
461811,JK-1500,JK-1500,0,
461947,BM-0900,LM-1200,0,TS-2000
462035,IR-0100,MP-1900,0,RL-0600
462041,LW-0700,LW-0700,0,
462112,JF-1900,LW-1600,19,TP-1600
462216,MS-0100,LT-0600,0,
462298,BW-1300,,0,
462319,KB-1900,TH-0100,0,DF-1900
462343,MM-0900,MM-0900,0,
462350,KA-0800,TS-2000,0,
462466,RF-0500,EW-1700,11,CG-1300
462467,PH-0500,KW-1600,11,JB-8800
462506,CS-3400,,0,EA-0300
462544,PH-0500,PH-0500,0,JB-8800
462547,PH-0500,LV-0200,0,DW-2600
462549,JC-5600,JC-5600,0,CK-0300
462559,JD-1400,BS-1500,0,AM-2300
462610,RD-0200,EB-0600,0,
462634,JK-1800,GG-0700,35,DM-1300
462650,JC-6200,JM-1900,-2,EM-1500
462670,BM-0700,BM-0700,0,
462746,AQ-0100,BM-1100,-5,LJ-0800
463018,AB-3500,AM-0400,0,
463089,LB-0500,DH-0700,0,DH-0700
463113,PP-0100,PP-0100,0,
463115,CW-3300,AH-2400,0,
463150,JF-3100,LF-0300,0,
463192,JS-6700,DR-2600,0,JA-0100
463416,DK-0300,DK-0300,0,
463462,JF-2600,MO-0500,0,KO-0800
463571,MH-1600,MH-1600,0,
463572,MH-1600,TL-0100,0,TL-0100
463694,SJ-0200,JG-3600,0,RH-0700
463728,SB-1100,SJ-0200,0,JV-0500
463746,CR-1200,DS-4300,0,CC-1200
463859,MS-0100,QM-0600,0,KL-0200
463885,MS-0100,DF-0600,0,
463889,CH-2400,SP-1500,0,CP-0100
463902,RB-3900,JT-0900,0,BP-1000
463939,CH-2400,BP-1000,6,
463998,MS-0100,MS-0100,0,KD-0100
464002,MS-0100,BM-3500,0,CW-0100
464044,ER-0500,OS-0400,0,
464065,ED-0200,KR-0500,0,RJ-0900
464096,LS-0500,LS-0500,0,
464097,LS-0500,JS-3700,0,
464142,KO-0700,CC-0200,0,
464153,TH-1600,DW-2900,0,RA-1500
464191,DW-1300,DD-2000,0,LB-0100
464244,MF-0800,JH-3600,0,KL-0800
464291,PR-0300,WG-0600,0,TH-0200
464383,BM-0900,,0,EB-1900
464561,TJ-0300,TJ-0300,0,
464639,JS-7200,TJ-0300,0,
464741,JF-1900,MO-0200,0,BP-0900
464769,AF-0900,JJ-3900,0,DL-0300
465079,JC-5600,JC-5600,0,RM-5200
465154,BM-0900,BM-0900,0,
465205,JK-1500,JK-1500,0,
465229,RG-2300,JR-0300,0,DW-1100
465419,AJ-0900,AJ-0900,0,MG-1800
465441,MS-0200,WS-0700,0,JB-0100
465572,DG-0600,MJ-2500,0,
465578,DG-0600,KO-0800,0,
465586,MT-0900,KC-2200,5,
465826,SB-1100,JB-2500,0,WG-0600
465908,BS-0700,BS-0700,0,
465990,BM-0300,BS-1500,17,
466248,JS-3700,TB-2600,0,GH-0300
466284,JS-6700,DD-2000,0,AB-2700
466291,TH-1600,SB-1400,0,JB-2000
466415,DB-3800,DB-3800,0,JJ-2700
466417,DB-3800,JG-2400,0,TS-3500
466498,WB-0700,CB-1600,0,
466555,JM-0200,KP-0600,22,TT-1000
466582,MM-0700,MP-0500,0,JC-2200
466606,DJ-0200,KP-0600,3,
466651,DJ-0200,DJ-0200,0,
466696,JS-4800,BF-0400,0,DH-2000
466697,JS-4800,RW-2200,0,WH-0700
466744,MH-1600,JB-0200,0,JA-1500
466812,CW-1900,CW-1900,0,
466944,BR-1100,FA-0100,0,DC-2900
466969,BR-1100,BR-1100,0,DC-2900
467004,DM-1600,JH-6100,0,JH-6100
467056,ST-0600,HE-0200,0,
467138,ED-0200,LR-0400,0,HE-0200
467174,JE-0100,DB-6100,0,
467190,TB-2300,TB-2300,0,DB-2200
467309,MF-1000,VW-0200,0,TB-0300
467323,EB-0600,GO-0100,0,AW-1800
467338,BF-0100,BF-0100,0,
467398,JW-1500,CD-1200,0,II-0100
467417,LB-0700,LB-0700,0,
467434,TG-0600,HM-0100,0,NR-0300
467470,LB-0700,MT-1200,0,BI-0200
467522,BR-1100,DL-0200,0,
467551,MG-1000,WA-0100,0,KF-0400
