pid,punter,pgro,pnet,ptb,pr,pry,pfc
148362,DS-4900,27,27,0,BM-3300,0,1
148369,JF-0800,19,18,0,SM-3600,1,0
148381,DS-4900,39,39,0,,0,0
148396,JF-0800,30,30,0,SM-3600,0,0
148479,JF-0800,33,33,0,SM-3600,0,1
148509,DS-4900,33,31,0,BM-3300,2,0
148514,JF-0800,42,36,0,SM-3600,6,0
148565,SL-0100,43,31,0,JW-4600,12,0
148570,BL-0200,41,41,0,,0,0
148575,SL-0100,38,38,0,JW-4600,0,1
148596,SL-0100,43,43,0,,0,0
148660,BL-0200,36,28,0,DG-3000,8,0
148664,SL-0100,46,26,0,JW-4600,20,0
148702,JM-4700,35,35,0,BE-0600,0,0
148706,TR-0900,46,46,0,AR-0200,0,1
148715,JM-4700,30,30,0,BE-0600,0,1
