pid,qtr,min,sec,dwn,yds,pts,player,type
10052,2,0,31,3,12,7,JR-0600,REC
10083,3,5,14,0,87,6,DO-0200,KR
10093,3,0,48,2,9,7,TG-1100,REC
10135,4,3,47,1,43,8,TM-2100,REC
10153,1,13,50,3,9,7,GC-1000,REC
10159,1,11,5,3,61,7,RM-5000,REC
10260,3,5,4,2,17,7,RM-5000,REC
10270,4,15,0,2,5,7,CB-0900,RUSH
10279,4,12,9,1,50,7,RM-5000,REC
10288,4,6,35,1,65,7,RS-2000,RUSH
10315,4,0,5,2,1,7,MB-0900,RUSH
10325,1,14,40,2,1,7,CM-2200,RUSH
10374,2,10,34,1,68,7,MR-1400,REC
10418,3,10,54,2,58,7,MR-1400,REC
10426,3,5,35,1,14,7,AF-1300,REC
10449,4,12,39,2,17,7,BS-1100,REC
10472,4,3,15,1,17,7,BS-1100,REC
10528,1,4,25,1,5,7,CF-1400,RUSH
10557,2,3,17,1,1,7,JB-3400,RUSH
10600,3,8,25,2,3,7,JB-3400,RUSH
10651,4,0,15,4,11,7,KM-0900,REC
10682,1,8,12,2,5,7,JR-2000,REC
10725,2,0,51,1,1,7,CG-0400,RUSH
10731,2,0,29,2,56,7,DB-3100,REC
10758,3,12,18,2,1,7,CG-0400,RUSH
10811,4,3,30,2,4,7,TJ-2700,RUSH
10842,1,7,34,1,9,7,IB-0200,REC
10846,1,6,22,1,13,7,MF-0300,REC
10881,2,11,59,3,2,7,JF-0700,RUSH
10891,2,6,26,2,7,7,TH-2300,REC
10916,3,15,0,1,3,7,FM-0200,REC
10920,3,12,0,1,12,7,IB-0200,REC
10940,3,5,37,3,48,7,MF-0300,REC
10965,4,7,56,3,6,7,TF-0700,RUSH
10974,4,7,42,4,12,7,JW-1000,RUSH
10979,4,3,19,3,62,7,TG-0400,REC
10998,1,15,0,1,14,7,FW-1100,REC
11032,2,9,40,1,7,7,EG-0200,RUSH
11047,2,7,43,1,29,7,DM-0500,REC
11086,3,7,35,1,14,7,IH-0100,REC
11102,4,15,0,3,3,7,FW-1100,REC
11121,4,9,32,4,1,7,DC-0300,REC
11182,1,3,54,2,2,7,MA-0600,RUSH
11222,2,5,7,1,50,7,SD-0400,RUSH
11297,4,7,33,3,8,7,LC-0400,REC
11306,4,3,57,3,46,7,RA-1300,REC
11426,3,12,12,3,70,8,TS-1900,REC
11442,3,6,2,4,70,7,TD-2500,PR
11466,4,8,44,2,11,7,CJ-1400,REC
11475,4,6,42,0,89,7,BM-3300,KR
11493,4,2,3,1,85,7,BM-3300,RUSH
11532,1,10,34,2,1,7,IM-0200,REC
11553,2,11,17,2,15,7,TG-1300,REC
11568,2,2,0,2,7,7,SA-0600,RUSH
11611,3,2,55,2,17,7,DA-0600,REC
11647,4,6,8,1,15,7,MC-1600,RUSH
11694,1,8,25,3,1,7,TP-2100,RUSH
11701,2,15,0,2,1,7,TP-2100,RUSH
11708,2,14,26,1,10,7,TJ-2700,RUSH
11716,2,9,59,2,53,6,FS-0100,REC
11775,3,6,54,1,5,7,FS-0100,REC
11785,4,14,12,1,6,7,TP-2100,RUSH
11836,1,13,27,2,2,7,RD-0700,RUSH
12004,1,7,25,2,43,7,DH-2200,REC
12024,2,15,0,2,5,7,WF-0100,REC
12151,1,11,40,3,35,7,MB-4100,INT
12179,2,15,0,3,4,7,JH-5200,REC
12195,2,11,12,1,47,7,JH-5200,REC
12256,3,6,48,1,2,7,RW-2600,RUSH
12279,4,9,44,4,29,7,AG-0900,REC
12350,2,14,2,1,80,7,CD-1500,RUSH
12366,2,10,22,3,19,7,DM-0500,REC
12378,2,3,31,2,36,7,DW-3400,INT
12402,3,12,9,1,5,7,EG-0200,RUSH
12483,1,9,32,1,42,7,JM-6400,REC
12520,2,11,40,1,13,7,JS-6500,REC
12542,2,1,43,2,42,7,LC-0100,INT
12576,3,7,19,2,30,7,HM-0400,REC
12585,3,4,39,3,5,8,AF-1300,REC
12607,4,11,27,3,7,7,WH-0600,REC
12695,2,1,58,2,20,7,LS-0700,REC
12760,4,10,6,1,3,7,SM-3400,RUSH
12769,4,4,59,1,20,7,SM-0200,FUM
12839,2,12,10,1,17,7,MH-1200,REC
12863,2,0,3,1,44,7,TS-1600,REC
12900,4,15,0,2,2,7,EB-1200,REC
12921,4,10,36,1,4,7,TG-1100,REC
13026,2,1,40,2,12,7,JB-3400,RUSH
13078,4,15,0,2,10,7,BS-1700,REC
13118,1,13,26,2,12,7,SD-0400,RUSH
13180,2,1,35,1,30,7,CJ-1400,REC
13227,4,15,0,2,8,7,NB-0700,REC
13238,4,10,48,1,3,7,SH-0900,RUSH
13287,1,12,5,3,2,7,EM-0500,REC
13351,2,0,57,2,26,7,FJ-0500,REC
13383,3,8,12,1,5,7,EM-0500,REC
13439,4,1,32,2,14,7,DC-0800,REC
13515,2,11,41,2,4,7,TO-0200,REC
13541,2,0,23,3,5,7,JR-2000,REC
13557,3,12,45,1,1,8,TW-1600,RUSH
13568,3,7,35,1,30,7,TB-2900,REC
13583,4,15,0,3,13,7,RG-0200,RUSH
13594,4,14,48,1,31,7,TO-0200,REC
13602,4,9,22,3,9,7,CG-0400,REC
13651,5,6,15,2,31,6,TB-2900,REC
13813,4,9,44,1,1,7,FT-0100,RUSH
13834,1,14,45,1,27,7,DC-4400,RUSH
13858,1,8,29,1,11,7,SK-0400,RUSH
13875,2,11,16,3,26,7,JD-1000,REC
13951,4,13,47,4,66,7,DA-0100,BLFG
13959,4,12,13,1,42,7,RM-5000,REC
14008,1,10,32,2,1,7,SP-1800,RUSH
14056,2,0,33,1,3,7,DM-2200,RUSH
14072,3,15,0,3,9,7,CL-0900,REC
14085,3,5,48,1,70,7,DB-3100,REC
14108,4,15,0,2,10,7,MP-1300,REC
14126,4,6,6,1,1,6,DA-2000,RUSH
14182,2,14,13,1,32,7,SM-3400,RUSH
14192,2,13,12,2,2,7,JO-0600,ORCV
14197,2,10,53,3,60,7,CC-4100,REC
14236,3,13,8,2,2,7,JF-0700,RUSH
14245,3,8,58,2,52,7,JG-2800,REC
14271,4,14,34,2,11,7,SB-1900,REC
14398,2,12,14,1,22,7,RS-2100,REC
14411,2,4,33,3,17,7,RS-2100,REC
14441,3,12,56,1,3,7,TP-2100,REC
14446,3,10,54,3,26,7,MA-1000,RUSH
14457,3,7,7,4,32,7,RS-2100,REC
14477,4,14,7,3,36,7,BJ-1000,INT
14546,1,3,44,1,67,7,AF-1300,REC
14577,2,6,48,2,39,7,CG-0400,REC
14591,2,0,57,3,2,7,AG-1600,RUSH
14606,3,15,0,2,1,7,DL-1100,RUSH
14620,3,8,51,1,23,7,JS-6900,REC
14639,4,13,16,1,16,7,TO-0200,REC
14649,4,11,36,3,1,7,AG-1600,RUSH
14657,4,8,1,1,37,7,TO-0200,REC
14697,1,12,14,2,4,7,NK-0600,REC
14738,2,4,47,2,14,7,TG-1300,REC
14753,2,0,18,3,15,7,TR-0300,REC
14803,4,11,20,2,7,7,TW-1600,REC
14853,1,13,25,3,2,7,CM-0600,RUSH
14857,1,8,29,2,21,7,VG-0200,INT
14893,2,12,20,1,9,7,KF-0200,RUSH
14911,2,3,0,1,4,7,CM-0600,RUSH
14945,3,8,53,4,2,7,CM-0600,RUSH
14977,4,11,22,2,13,7,DB-2600,RUSH
15051,2,15,0,2,2,7,RW-2600,RUSH
15158,4,7,25,3,1,7,RW-2600,RUSH
15167,4,3,16,3,29,7,JH-5200,REC
15233,2,6,48,4,1,7,PM-1100,REC
15271,3,10,7,3,1,7,RT-0800,REC
15290,3,1,23,1,3,7,ES-1000,RUSH
15307,4,10,6,2,3,6,RD-0700,RUSH
15347,1,14,6,2,77,7,HW-0100,REC
15527,1,15,0,1,26,7,EJ-0200,RUSH
15561,2,14,12,1,8,7,DJ-0100,REC
15569,2,10,3,2,3,7,EJ-0200,RUSH
15583,2,2,0,2,7,7,IM-0200,REC
15612,3,14,39,1,17,7,KD-1000,REC
15630,3,5,35,1,2,7,EJ-0200,RUSH
15659,4,5,15,3,6,7,KB-0100,REC
15677,1,15,0,0,96,7,DV-0200,KR
15679,1,14,44,0,103,7,TH-2600,KR
15691,1,13,56,2,16,7,TM-0900,REC
15717,2,15,0,3,3,8,TH-2600,REC
15740,2,9,45,2,2,6,JW-1000,RUSH
15746,2,2,0,1,4,7,JA-1600,RUSH
15761,2,0,11,4,30,8,AH-0200,REC
15783,3,10,32,1,12,8,RH-2600,REC
15830,4,4,32,4,16,8,TD-2500,REC
15841,4,1,14,1,3,8,MF-0300,RUSH
15958,4,15,0,2,33,7,SD-0400,RUSH
16020,1,6,59,3,25,6,DW-2500,REC
16050,2,8,58,1,72,7,RS-2000,RUSH
16060,2,7,21,3,24,7,CC-1000,REC
16089,3,12,0,3,24,7,MH-1700,REC
16114,4,15,0,1,6,7,JA-0800,RUSH
16125,4,12,57,2,7,7,RM-5000,REC
16176,1,7,37,2,4,7,FW-1100,REC
16192,2,15,0,3,22,7,DM-0500,REC
16240,3,12,27,2,19,7,EG-0200,RUSH
16299,4,0,56,3,2,7,AJ-1000,RUSH
16380,2,0,43,1,4,8,JS-6500,RUSH
16449,4,4,34,1,4,7,JS-6500,RUSH
16460,4,2,0,2,1,7,JS-6500,RUSH
16492,1,5,49,1,12,7,RW-2600,RUSH
16537,2,1,30,1,52,7,TD-2500,REC
16568,3,5,53,1,26,7,RW-2600,RUSH
16603,4,4,14,3,1,7,RW-2600,RUSH
16609,4,3,4,1,33,6,TM-0900,REC
16689,2,0,51,3,9,7,RT-0900,REC
16702,3,13,28,1,24,7,RG-1200,INT
16792,1,7,31,3,3,7,IB-0300,REC
16811,2,15,0,4,32,6,TO-0200,REC
16825,2,8,56,2,2,7,TB-1200,REC
16829,2,8,43,1,30,7,MM-3400,INT
16837,2,5,47,1,16,7,JR-2000,REC
16870,3,12,21,1,8,7,TB-1200,REC
16955,1,8,19,1,1,7,DS-3000,REC
17004,2,5,43,2,3,7,MA-1000,RUSH
17007,2,5,29,1,77,7,PW-0400,RUSH
17041,3,9,1,2,19,7,BB-1700,RUSH
17088,4,5,9,2,65,7,CD-1500,RUSH
17093,4,3,48,1,28,7,RS-2100,REC
17102,4,2,0,2,41,7,CD-1500,RUSH
17140,1,3,30,1,1,7,ES-1000,RUSH
17146,1,1,59,4,59,7,WM-0400,PR
17159,2,11,2,1,32,7,CW-0700,RUSH
17209,3,6,57,2,24,7,RI-0200,REC
17218,3,4,8,1,10,7,CW-0700,RUSH
17234,4,12,27,3,2,7,RT-0800,REC
17252,4,5,35,1,1,7,MP-1300,RUSH
17286,1,6,17,2,19,7,JR-0600,REC
17294,1,2,48,3,51,7,MH-1200,REC
17357,3,6,42,1,78,7,MH-1200,REC
17368,3,2,30,4,1,7,DB-2600,RUSH
17397,4,6,20,1,1,7,EJ-0200,REC
17410,4,2,12,1,3,6,EJ-0200,RUSH
17435,1,9,42,1,1,7,SD-0400,RUSH
17469,2,12,30,3,33,7,RS-2400,REC
17477,2,10,0,2,11,7,AC-2300,REC
17489,2,5,48,2,49,7,AC-2300,REC
17528,3,10,34,1,77,7,AC-2300,REC
17576,4,4,37,1,16,7,SD-0400,RUSH
17597,1,13,13,3,2,7,FM-0700,RUSH
17626,1,3,3,4,6,7,MC-1600,BLPU
17644,2,9,46,4,1,7,MF-0300,RUSH
17653,2,6,53,2,9,7,TG-1300,REC
17658,2,5,20,1,18,7,TH-2300,REC
17685,3,13,38,1,30,7,DA-0600,REC
17697,3,8,57,3,31,7,RW-2900,REC
17717,3,1,32,1,6,6,KA-0900,RUSH
17722,3,0,23,1,22,7,IB-0200,REC
17738,4,10,56,2,4,7,KA-0900,RUSH
17749,4,5,32,3,8,7,TD-2000,REC
17758,4,2,58,4,4,6,IB-0200,REC
17815,2,13,44,3,25,7,EM-1800,REC
17862,3,9,21,1,6,7,CC-1000,REC
17880,3,1,16,2,1,7,SM-3400,RUSH
17888,4,14,25,3,18,7,SM-3400,REC
17900,4,9,38,1,11,8,CC-1000,REC
17922,4,3,50,2,39,7,RM-5000,REC
17976,1,3,9,2,16,7,TB-2900,REC
17993,2,11,55,2,9,7,TB-2900,REC
18005,2,7,48,1,80,7,TW-1600,RUSH
18080,4,8,36,2,23,7,JJ-2200,REC
18173,2,0,51,1,3,7,JT-2200,REC
18329,2,8,30,4,1,7,JB-3400,RUSH
18444,1,5,9,1,42,7,LS-0700,REC
18451,1,3,22,1,68,7,LS-1100,RUSH
18507,2,0,57,3,10,7,WC-0100,REC
18550,3,0,15,1,3,7,LS-1100,RUSH
18558,4,13,54,2,30,6,LC-0800,REC
18574,4,9,59,1,1,7,JW-3000,REC
18599,4,4,1,2,24,7,WC-0100,REC
18602,4,3,41,1,46,7,LS-0700,REC
18614,4,1,0,2,3,7,JE-0400,REC
18666,1,2,39,1,1,7,LH-0100,REC
18673,1,0,22,2,3,7,TH-0500,REC
18739,3,5,16,3,40,7,KM-2200,INT
18765,4,10,36,1,1,7,RW-2600,RUSH
18936,4,5,8,3,2,7,JA-1600,RUSH
19041,3,10,6,1,45,6,HW-0100,REC
19121,1,5,6,1,1,7,SM-3400,RUSH
19131,1,1,5,2,12,7,FB-0100,REC
19158,2,4,58,2,45,7,HJ-0100,INT
19204,3,1,9,3,10,7,WC-0100,REC
19296,2,12,20,1,1,7,CD-1500,RUSH
19432,1,7,47,2,13,7,JH-1800,REC
19483,2,1,27,3,3,7,KB-1700,REC
19493,2,0,13,3,3,7,AW-1000,REC
19558,4,1,1,2,1,7,RC-2800,RUSH
19575,5,11,28,2,37,6,AW-1000,REC
19604,1,2,47,1,31,7,MP-1500,REC
19631,2,6,31,3,3,7,MH-1200,REC
19652,2,0,45,3,12,7,KD-1000,REC
19674,3,9,20,1,9,8,MB-0900,RUSH
19728,4,2,44,3,5,7,HM-0400,REC
19738,4,1,48,2,24,7,EJ-0200,RUSH
19774,1,1,6,1,1,7,DL-1100,RUSH
19785,2,12,1,2,7,7,DL-1100,RUSH
19816,2,1,18,2,1,7,JF-1400,RUSH
19832,3,10,54,2,15,7,OG-0100,REC
19846,3,6,10,1,4,7,LS-1100,RUSH
19854,3,3,36,4,81,7,JO-0400,PR
19923,1,6,9,2,1,7,RD-0700,RUSH
