pid,fgxp,fkicker,dist,good
103490,FG,MH-3100,50,0
103509,XP,AV-0400,20,1
103521,FG,MH-3100,25,0
103531,FG,AV-0400,46,1
103550,XP,MH-3100,20,1
103569,XP,AV-0400,20,1
103586,XP,AV-0400,20,1
103598,FG,MH-3100,45,0
103608,XP,AV-0400,20,1
103686,FG,PE-0100,30,1
103699,XP,DA-0300,20,1
103708,XP,PE-0100,20,1
103718,FG,PE-0100,53,1
103729,FG,DA-0300,23,1
103741,FG,DA-0300,36,1
103764,FG,DA-0300,27,1
103788,FG,DA-0300,22,1
103812,XP,PD-0200,20,1
103822,FG,TP-1200,43,1
103847,XP,PD-0200,20,1
103857,XP,TP-1200,20,1
103873,XP,TP-1200,20,1
103910,FG,TP-1200,41,0
103925,FG,TP-1200,28,1
103931,FG,TP-1200,42,1
103953,XP,PD-0200,20,0
104055,FG,JH-0900,42,1
104070,FG,JH-0900,44,1
104104,XP,BC-3000,20,1
104124,FG,JH-0900,43,1
104144,FG,KB-2300,23,1
104156,FG,NR-0100,25,1
104169,XP,NR-0100,20,1
104188,XP,NR-0100,20,1
104199,FG,KB-2300,46,0
104207,XP,NR-0100,20,1
104214,FG,KB-2300,53,0
104260,XP,NR-0100,20,1
104273,XP,NR-0100,20,1
104312,FG,JN-0600,28,1
104324,XP,JN-0600,20,1
104335,XP,JN-0600,20,1
104351,FG,JN-0600,34,1
104364,FG,MV-0100,46,0
104376,FG,JN-0600,39,1
104432,XP,MV-0100,20,1
104464,XP,SJ-0300,20,1
104478,FG,JC-5000,20,1
104483,XP,JC-5000,20,1
104496,FG,SJ-0300,42,1
104507,FG,JC-5000,39,0
104527,FG,SJ-0300,23,1
104539,FG,JC-5000,22,1
104565,XP,JC-5000,20,1
104579,XP,SJ-0300,20,1
104593,FG,JC-5000,27,0
104611,FG,JC-5000,23,1
104639,XP,JH-0500,20,1
104647,XP,JH-0500,20,1
104671,XP,JH-0500,20,1
104680,XP,SC-0700,20,1
104688,XP,JH-0500,20,1
104695,FG,JH-0500,24,1
104717,FG,JH-0500,32,1
104722,FG,JH-0500,43,0
104729,XP,SC-0700,20,0
104751,FG,JH-0500,38,1
104769,XP,JH-0500,20,1
104800,XP,JT-4400,20,1
104816,FG,RL-0900,23,1
104824,XP,JT-4400,20,1
104936,XP,MG-1200,20,1
104964,XP,MG-1200,20,1
104976,FG,MG-1200,36,1
104991,XP,MG-1200,20,1
104995,XP,GA-0300,20,1
105007,FG,MG-1200,40,0
105016,FG,GA-0300,26,1
105036,XP,MG-1200,20,1
105044,XP,GA-0300,20,1
105053,XP,MG-1200,20,1
105077,XP,GA-0300,20,1
105102,XP,MB-4600,20,1
105128,FG,MB-4600,41,0
105145,FG,MB-4600,37,0
105165,XP,MB-4600,20,1
105176,FG,MB-4600,27,1
105189,XP,MB-4600,20,1
105198,FG,TS-1100,24,1
105230,XP,TS-1100,20,1
105244,XP,TS-1100,20,1
105294,XP,RL-1300,20,1
105322,XP,RL-1300,20,1
105340,FG,RL-1300,27,1
105363,XP,RL-1300,20,1
105382,FG,OM-0100,46,1
105407,XP,OM-0100,20,1
105431,FG,RL-0900,23,1
105437,FG,BG-1300,40,1
105446,XP,RL-0900,20,1
105467,FG,RL-0900,30,1
105475,XP,RL-0900,20,1
105487,FG,BG-1300,27,1
105497,XP,RL-0900,20,1
105580,XP,MS-5200,20,1
105582,XP,NR-0100,20,1
105609,XP,MS-5200,20,1
105630,XP,NR-0100,20,1
105637,FG,MS-5200,33,1
105644,XP,MS-5200,20,1
105663,FG,NR-0100,43,1
105683,XP,MS-5200,20,1
105694,FG,NR-0100,35,1
105710,XP,MS-5200,20,1
105726,XP,NR-0100,20,1
105745,FG,JC-0900,39,1
105755,FG,JC-0900,23,1
105793,XP,JC-0900,20,1
105813,XP,SG-1100,20,1
105826,FG,SG-1100,19,1
105839,XP,SG-1100,20,1
105854,XP,JC-0900,20,1
105895,XP,SG-1100,20,1
105909,XP,JC-0900,20,1
105946,FG,PE-0100,39,1
105957,FG,AV-0400,57,1
105968,FG,PE-0100,40,1
105987,FG,AV-0400,31,1
105998,XP,PE-0100,20,1
106008,XP,PE-0100,20,1
106023,XP,PE-0100,20,1
106033,XP,AV-0400,20,1
106040,FG,AV-0400,42,1
106061,FG,AV-0400,25,1
106071,FG,PE-0100,32,1
106113,FG,RL-1300,30,1
106116,XP,JH-0900,20,1
106135,XP,RL-1300,20,1
106150,FG,RL-1300,40,1
106163,FG,RL-1300,36,1
106177,XP,RL-1300,20,1
106190,XP,RL-1300,20,1
106194,FG,JH-0900,50,0
106205,FG,RL-1300,33,1
106223,XP,RL-1300,20,1
106246,XP,JH-0900,20,1
106292,XP,JT-4400,20,1
106333,XP,TS-1100,20,1
106364,FG,TS-1100,27,1
106382,FG,TS-1100,43,1
106389,FG,JT-4400,49,0
106398,FG,TS-1100,27,1
106408,XP,TS-1100,20,1
106427,FG,TS-1100,42,1
106474,XP,MB-4600,20,1
106495,FG,GA-0300,20,1
106518,FG,MB-4600,31,0
106551,FG,GA-0300,27,1
106573,XP,MB-4600,20,0
106585,XP,GA-0300,20,1
106597,XP,GA-0300,20,1
106639,FG,DA-0300,34,1
106657,XP,MV-0100,20,1
106666,XP,MV-0100,20,1
106689,FG,DA-0300,20,1
106712,XP,MV-0100,20,1
106734,XP,MV-0100,20,1
106741,FG,MV-0100,48,0
106760,XP,MV-0100,20,1
106771,XP,DA-0300,20,1
106819,FG,TP-1200,34,1
106825,XP,JF-0900,20,1
106835,XP,TP-1200,20,1
106845,XP,TP-1200,20,1
106869,FG,TP-1200,40,0
106877,XP,JF-0900,20,1
106883,XP,TP-1200,20,0
106896,FG,JF-0900,36,1
106916,FG,TP-1200,34,1
106929,XP,JF-0900,20,1
106948,FG,JF-0900,40,1
106960,XP,JF-0900,20,1
106973,FG,TP-1200,48,0
107003,FG,JF-0900,56,0
107020,FG,JC-5000,42,1
107033,FG,MA-0700,33,1
107046,XP,JC-5000,20,1
107052,XP,MA-0700,20,1
107066,XP,JC-5000,20,1
107101,FG,JC-5000,46,0
107112,FG,MA-0700,43,1
107158,XP,JW-3300,20,1
107169,XP,SC-0700,20,1
107187,FG,SC-0700,41,1
107201,XP,SC-0700,20,1
107234,XP,JW-3300,20,1
107245,XP,SC-0700,20,1
107290,XP,JW-3300,20,1
107303,XP,JW-3300,20,1
107338,XP,JN-0600,20,1
107346,FG,JN-0600,49,0
107368,FG,JN-0600,24,1
107382,FG,KB-2300,51,1
107394,XP,JN-0600,20,1
107453,XP,KB-2300,20,1
107484,XP,JH-0500,20,1
107509,FG,OM-0100,28,1
107537,FG,JH-0500,30,1
107558,XP,OM-0100,20,1
107599,FG,JH-0500,27,1
107619,FG,SJ-0300,47,1
107632,XP,SJ-0300,20,1
107646,FG,SJ-0300,32,1
107664,XP,JE-0200,20,1
107703,XP,SJ-0300,20,0
107718,FG,JE-0200,27,1
107727,XP,SJ-0300,20,1
107781,FG,JF-0900,39,0
107814,XP,JF-0900,20,1
107861,XP,JF-0900,20,1
107870,FG,JC-0900,35,1
107882,FG,JF-0900,42,1
107890,XP,JC-0900,20,1
107908,XP,JF-0900,20,1
107921,XP,JC-0900,20,1
107931,XP,NR-0100,20,1
107942,XP,PD-0200,20,1
107962,XP,PD-0200,20,1
107973,XP,NR-0100,20,1
107985,FG,PD-0200,24,0
108009,FG,PD-0200,27,1
108025,FG,NR-0100,37,1
108039,XP,PD-0200,20,1
108048,FG,NR-0100,31,1
108062,FG,PD-0200,40,1
108108,XP,JH-0500,20,1
108122,XP,JH-0500,20,0
108130,XP,JH-0900,20,1
108179,XP,JH-0900,20,1
108206,FG,JH-0500,22,1
108222,XP,JH-0500,20,1
108263,XP,TS-1100,20,1
108278,XP,TS-1100,20,1
108294,XP,KB-2300,20,1
108310,FG,TS-1100,22,1
108320,XP,TS-1100,20,1
108344,XP,KB-2300,20,1
108364,FG,TS-1100,40,0
108380,XP,KB-2300,20,1
108428,FG,MV-0100,23,0
108446,FG,BC-3000,21,1
108458,FG,MV-0100,48,1
108468,FG,BC-3000,52,0
108485,FG,MV-0100,42,0
108506,FG,MV-0100,32,1
108527,XP,MV-0100,20,1
108535,XP,MV-0100,20,1
108573,XP,MA-0700,20,1
108590,FG,MH-3100,23,1
108598,FG,MH-3100,33,1
108605,FG,MA-0700,38,1
108622,XP,MH-3100,20,1
108656,FG,MH-3100,27,1
108668,FG,MA-0700,45,0
108684,XP,MA-0700,20,1
108729,XP,OM-0100,20,1
108754,XP,MS-5200,20,1
108763,XP,OM-0100,20,1
108782,FG,OM-0100,42,1
108807,FG,OM-0100,49,1
108868,XP,GA-0300,20,1
108881,XP,GA-0300,20,1
108937,XP,RL-1300,20,1
108959,XP,GA-0300,20,1
108972,XP,RL-1300,20,1
108997,XP,RL-1300,20,1
109006,FG,GA-0300,32,1
109026,XP,GA-0300,20,1
109058,FG,MB-4600,43,1
109080,XP,JT-4400,20,1
109107,FG,JT-4400,31,1
109118,XP,MB-4600,20,1
109139,XP,JT-4400,20,1
109164,FG,MB-4600,34,1
109170,FG,MB-4600,33,1
109184,FG,MB-4600,19,1
109209,FG,JT-4400,42,0
109234,XP,BG-1300,20,1
109242,XP,DA-0300,20,1
109270,XP,DA-0300,20,1
109278,XP,BG-1300,20,1
109289,XP,DA-0300,20,1
109299,XP,DA-0300,20,1
109327,FG,DA-0300,34,1
109352,XP,DA-0300,20,1
109413,XP,SC-0700,20,1
109454,XP,JC-5000,20,1
109461,FG,SC-0700,44,0
109466,XP,JC-5000,20,1
109483,FG,JC-5000,24,1
109521,FG,SC-0700,36,1
109539,XP,SC-0700,20,1
109561,FG,JC-5000,41,0
109570,FG,SC-0700,40,1
109580,FG,JE-0200,40,0
109626,FG,JE-0200,45,1
109653,FG,RL-0900,52,1
109659,XP,JE-0200,20,1
109672,FG,RL-0900,37,1
109688,XP,JE-0200,20,1
109701,FG,RL-0900,29,1
109710,XP,JE-0200,20,1
109728,XP,JE-0200,20,1
109750,XP,SG-1100,20,1
109777,XP,MG-1200,20,1
109788,FG,SG-1100,42,1
109797,FG,MG-1200,20,1
109816,FG,SG-1100,44,0
109851,XP,MG-1200,20,1
109868,FG,MG-1200,32,1
109878,FG,MG-1200,41,1
109897,XP,TP-1200,20,1
109907,XP,JN-0600,20,1
109920,FG,TP-1200,31,0
109968,XP,JN-0600,20,1
109984,FG,TP-1200,37,0
109997,FG,JN-0600,39,0
110008,XP,JN-0600,20,1
110018,XP,JN-0600,20,1
110033,FG,JN-0600,43,1
110078,FG,AV-0400,36,1
110102,FG,SJ-0300,39,1
110119,XP,SJ-0300,20,1
110135,FG,AV-0400,31,1
110149,XP,SJ-0300,20,1
110170,XP,SJ-0300,20,1
110179,FG,AV-0400,52,0
110182,XP,AV-0400,20,1
110209,FG,SJ-0300,49,0
110220,FG,SJ-0300,28,1
110222,XP,AV-0400,20,1
110238,XP,JW-3300,20,1
110264,FG,PE-0100,37,1
110283,FG,PE-0100,48,1
110304,XP,JW-3300,20,1
110323,XP,PE-0100,20,1
110360,XP,JW-3300,20,1
110376,FG,PE-0100,50,1
110409,XP,SJ-0300,20,1
110429,XP,SJ-0300,20,1
110436,XP,BG-1300,20,1
110456,XP,SJ-0300,20,1
110471,XP,BG-1300,20,1
110494,XP,SJ-0300,20,1
110507,XP,SJ-0300,20,1
110522,FG,SJ-0300,37,1
110568,FG,SJ-0300,51,1
110580,XP,MS-5200,20,1
110603,FG,MS-5200,26,1
110629,FG,JN-0600,32,1
110659,FG,JN-0600,37,1
110697,FG,MS-5200,43,1
110708,FG,JN-0600,40,1
110726,FG,JN-0600,21,1
110758,FG,JF-0900,28,0
110765,XP,JF-0900,20,1
110774,XP,JF-0900,20,1
110789,XP,JF-0900,20,1
110807,XP,JF-0900,20,1
110844,XP,JF-0900,20,1
110855,XP,JF-0900,20,0
110916,FG,PE-0100,35,0
110934,XP,PE-0100,20,1
110958,FG,JH-0900,22,1
110994,XP,JH-0900,20,1
111004,XP,JH-0900,20,1
111048,XP,PE-0100,20,1
111064,FG,PE-0100,22,1
111079,FG,PE-0100,40,1
111087,FG,BC-3000,33,0
111147,FG,TS-1100,41,0
111152,XP,BC-3000,20,1
111163,FG,TS-1100,31,1
111188,XP,BC-3000,20,1
111204,XP,TS-1100,20,1
111213,XP,BC-3000,20,1
111240,XP,TS-1100,20,1
111296,FG,KB-2300,40,1
111324,XP,MB-4600,20,1
111372,FG,MB-4600,33,0
111385,XP,MB-4600,20,1
111397,FG,KB-2300,50,1
111432,FG,OM-0100,20,1
111443,FG,SC-0700,38,1
111451,XP,OM-0100,20,1
111477,XP,OM-0100,20,1
111486,FG,SC-0700,42,0
111500,FG,OM-0100,38,1
111513,FG,OM-0100,54,0
111530,XP,OM-0100,20,1
111541,FG,OM-0100,23,1
111581,FG,GA-0300,43,0
111594,XP,AV-0400,20,1
111612,XP,AV-0400,20,1
111628,XP,AV-0400,20,1
111658,XP,GA-0300,20,1
111689,XP,GA-0300,20,1
111707,FG,GA-0300,38,1
111715,FG,AV-0400,34,1
111725,FG,GA-0300,41,0
111764,FG,JC-0900,33,1
111786,XP,PD-0200,20,1
111797,FG,JC-0900,27,1
111824,XP,PD-0200,20,1
111830,FG,JC-0900,30,1
111860,XP,PD-0200,20,1
111881,FG,JC-0900,48,1
111895,FG,PD-0200,28,1
111921,FG,MH-3100,43,1
111932,FG,JH-0500,23,1
111948,XP,JH-0500,20,1
111965,XP,JH-0500,20,1
111985,XP,JH-0500,20,1
111996,XP,MH-3100,20,1
112011,FG,MH-3100,40,1
112024,XP,JH-0500,20,1
112038,FG,JH-0500,45,0
112064,XP,JR-1100,20,1
112078,XP,JR-1100,20,1
112097,FG,JR-1100,33,1
112106,XP,NR-0100,20,1
112124,XP,NR-0100,20,1
112131,FG,JR-1100,51,0
112154,FG,JR-1100,43,1
112183,XP,NR-0100,20,1
112192,FG,JR-1100,45,1
112200,XP,JR-1100,20,0
112223,XP,MA-0700,20,1
112238,FG,MA-0700,31,1
112251,FG,RL-0900,50,0
112265,XP,RL-0900,20,1
112269,XP,MA-0700,20,1
112279,XP,RL-0900,20,1
112298,XP,RL-0900,20,1
112308,XP,RL-0900,20,1
112345,FG,RL-0900,37,1
112375,XP,MA-0700,20,1
112400,XP,RL-1300,20,1
112449,FG,MG-1200,38,1
112468,FG,MG-1200,51,1
