GameID,Season,Week,Visiting,Home,OverUnder,Spread,VisitingPoints,HomePoints
450,2001,14,NE,BUF,40,-4,12,9
451,2001,14,TB,CHI,32,1.5,3,27
452,2001,14,JAC,CLE,36.5,2,15,10
453,2001,14,MIN,DET,46.5,-3,24,27
454,2001,14,ATL,IND,46.5,4,27,41
455,2001,14,DEN,KC,37.5,1,23,26
456,2001,14,CIN,NYJ,34.5,8.5,14,15
457,2001,14,MIA,SF,43.5,4,0,21
458,2001,14,DAL,SEA,33.5,5.5,3,29
459,2001,14,GB,TEN,43.5,-3,20,26
460,2001,14,PHI,WAS,34,-3,20,6
461,2001,14,PIT,BAL,33,-3,26,21
462,2001,14,STL,NO,51,-6.5,34,21
463,2001,15,MIA,NE,36,3,13,20
464,2001,15,TEN,OAK,45,5.5,13,10
465,2001,15,PHI,SF,38,3,3,13
466,2001,15,DAL,ARI,37.5,3,10,17
467,2001,15,BUF,ATL,42,3,30,33
468,2001,15,CIN,BAL,33.5,10.5,0,16
469,2001,15,STL,CAR,45,-12.5,38,32
470,2001,15,CLE,GB,35,7.5,7,30
471,2001,15,SD,KC,38.5,3,17,20
472,2001,15,JAC,MIN,45,3,33,3
473,2001,15,SEA,NYG,34,3,24,27
474,2001,15,DET,PIT,35,10,14,47
475,2001,15,NO,TB,38,2.5,21,48
476,2001,15,CHI,WAS,33,0,20,15
477,2001,15,NYJ,IND,48,1,29,28
478,2001,16,BAL,TB,34,2.5,10,22
479,2001,16,ARI,CAR,34,2.5,30,7
480,2001,16,PIT,CIN,34,-8,23,26
481,2001,16,SF,DAL,39.5,-6,21,27
482,2001,16,OAK,DEN,41,1,17,23
483,2001,16,CHI,DET,37.5,-5.5,24,0
484,2001,16,MIN,GB,36,13,13,24
485,2001,16,KC,JAC,41,4.5,30,26
486,2001,16,ATL,MIA,38.5,7,14,21
487,2001,16,BUF,NYJ,37,7,14,9
488,2001,16,NYG,PHI,34,5,21,24
489,2001,16,SEA,SD,38,2,25,22
490,2001,16,IND,STL,58.5,12,17,42
491,2001,16,CLE,TEN,37,6,41,38
492,2001,16,WAS,NO,39.5,5,40,10
493,2001,17,NE,CAR,35.5,-6.5,38,6
494,2001,17,JAC,CHI,34,4.5,13,33
495,2001,17,DAL,DET,36,-3,10,15
496,2001,17,DEN,IND,51.5,2,10,29
497,2001,17,BUF,MIA,35.5,5.5,7,34
498,2001,17,SF,NO,46,-2.5,38,0
499,2001,17,GB,NYG,37.5,-3,34,25
500,2001,17,NYJ,OAK,40.5,3.5,24,22
501,2001,17,CLE,PIT,34,5.5,7,28
502,2001,17,KC,SEA,39.5,3.5,18,21
503,2001,17,ATL,STL,47.5,15.5,13,31
504,2001,17,CIN,TEN,39.5,5.5,23,21
505,2001,17,ARI,WAS,35.5,4,17,20
506,2001,17,PHI,TB,33,4,17,13
507,2001,17,MIN,BAL,37,12.5,3,19
508,2001,18,NYJ,OAK,42,5.5,24,38
509,2001,18,TB,PHI,33,3.5,9,31
510,2001,18,SF,GB,43,4,15,25
511,2001,18,BAL,MIA,31.5,3,20,3
512,2001,19,PHI,CHI,31,3,33,19
513,2001,19,OAK,NE,37.5,3,13,16
514,2001,19,BAL,PIT,33,5.5,10,27
515,2001,19,GB,STL,55.5,11.5,17,45
516,2001,20,NE,PIT,37.5,10,24,17
517,2001,20,PHI,STL,48,10.5,24,29
518,2001,21,STL,NE,53,-14,17,20
519,2002,1,SF,NYG,38.5,-3.5,16,13
520,2002,1,NYJ,BUF,40.5,-3,37,31
521,2002,1,BAL,CAR,33.5,-2,7,10
522,2002,1,MIN,CHI,40.5,4.5,23,27
523,2002,1,SD,CIN,37.5,2.5,34,6
524,2002,1,KC,CLE,36,2,40,39
525,2002,1,STL,DEN,52,-3,16,23
526,2002,1,ATL,GB,42.5,7,34,37
527,2002,1,IND,JAC,43.5,-3.5,28,25
528,2002,1,DET,MIA,35.5,8,21,49
529,2002,1,SEA,OAK,41,7,17,31
530,2002,1,NO,TB,37.5,5.5,26,20
531,2002,1,PHI,TEN,37,1,24,27
532,2002,1,ARI,WAS,43.5,7,23,31
533,2002,1,DAL,HOU,33.5,-8,10,19
534,2002,1,PIT,NE,37,-2.5,14,30
535,2002,2,CHI,ATL,44.5,3,14,13
536,2002,2,TB,BAL,33,-3.5,25,0
537,2002,2,DET,CAR,37,3,7,31
538,2002,2,CIN,CLE,39,4,7,20
539,2002,2,TEN,DAL,37,-3,13,21
540,2002,2,MIA,IND,46.5,2,21,13
541,2002,2,JAC,KC,44.5,4,23,16
542,2002,2,BUF,MIN,48,5,45,39
543,2002,2,GB,NO,45.5,-2,20,35
544,2002,2,NE,NYJ,42,1.5,44,7
545,2002,2,HOU,SD,33.5,12.5,3,24
546,2002,2,DEN,SF,44,3.5,24,14
547,2002,2,ARI,SEA,40,3.5,24,13
548,2002,2,NYG,STL,46,12.5,26,21
549,2002,2,OAK,PIT,40,4,30,17
550,2002,2,PHI,WAS,44.5,-3,37,7
551,2002,3,SD,ARI,39.5,-1.5,23,15
552,2002,3,NO,CHI,40.5,1,29,23
553,2002,3,BUF,DEN,47.5,9,23,28
554,2002,3,GB,DET,45,-8,37,31
555,2002,3,IND,HOU,38.5,-11.5,23,3
556,2002,3,NYJ,MIA,40.5,6,3,30
557,2002,3,CAR,MIN,45,6,21,14
558,2002,3,KC,NE,43.5,9,38,41
559,2002,3,SEA,NYG,38.5,6,6,9
560,2002,3,DAL,PHI,36.5,9,13,44
561,2002,3,WAS,SF,45,9,10,20
562,2002,3,CLE,TEN,38,4,31,28
563,2002,3,CIN,ATL,41,7,3,30
564,2002,3,STL,TB,43,-2,14,26
565,2002,4,NYG,ARI,38,-3,7,21
566,2002,4,CHI,BUF,44,3,27,33
567,2002,4,TB,CIN,34,-7,35,7
568,2002,4,NO,DET,46,-7.5,21,26
569,2002,4,CAR,GB,42.5,7,14,17
